S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,5472531.0,M/s Sanika Construction,22-Aug-2025 11:49 AM,Rejected-Finance,Not Being Lowest,15-Dec-2025 02:14 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1061479_3,12/LCDJ/EE/2025-26,"Stone Lining of Jauri Minor of Badagaon Pump Canal Reach 0.00 km to 0.10 km, District-Jhansi LOT-2",1.0,5470067.0,SHOBHA ENTERPRISES,INR,"989,699",15-Dec-2025,"INR 1,100,000",120.0,JAGANNATH PRASAD,15-Dec-2025 02:16 PM,AOC12_2.pdf (577.00 KB),DOS,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE NEETU GAUTAM,JAGANNATH PRASAD,25-Aug-2025 03:42 PM,25-Aug-2025 04:00 PM,techsummary_1942459.pdf (623.46 KB),Finance,FINANCIAL EVALUATION COMPLETE,JAGANNATH PRASAD,15-Dec-2025 02:12 PM,finance_1942459.pdf,BOQ Comparative Chart,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE NEETU GAUTAM,JAGANNATH PRASAD,15-Dec-2025 02:14 PM,finsummary_1942459.pdf (286.51 KB),Technical,All Bids are admitted,JAGANNATH PRASAD,22-Aug-2025 05:41 PM,technical_1942459.pdf,AOC,767.0,Nil,Nil,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,14-Aug-2025 02:00 PM,22-Aug-2025 02:00 PM,14-Aug-2025 02:00 PM,22-Aug-2025 12:00 PM,NA ,NA ,14-Aug-2025 02:00 PM,22-Aug-2025 12:00 PM,25-Aug-2025 04:00 PM,"22,000",No,fixed,,Nil,Nil,1.0,SBI Bank,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,12/LCDJ/EE/2025-26,2025_UPIDM_1061479_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Stone Lining of Jauri Minor of Badagaon Pump Canal Reach 0.00 km to 0.10 km, District-Jhansi LOT-2","Stone Lining of Jauri Minor of Badagaon Pump Canal Reach 0.00 km to 0.10 km, District-Jhansi LOT-2",Please refer Tender documents. ,NA ,"11,00,000",Civil Works,NA ,Tender,90.0,120.0,Badagaon Pump Canal District Jhansi,284121.0,NA ,NA ,NA ,Jhansi,No ,No,Executive Engineer,"Office of The Executive Engineer, Lift Canal Division, Gwalior Road, Civil Lines, Jhansi",AOC
2.0,5470067.0,SHOBHA ENTERPRISES,21-Aug-2025 08:10 PM,Accepted-AOC,AOC,15-Dec-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
