Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Technical,Admitted,Vinay Kumar Singh,21-Nov-2025 12:03 AM,,20-Dec-2025,"INR 140,000",15.0,Vinay Kumar Singh,20-Dec-2025 09:15 PM,50.pdf (390.00 KB),V.K. SINGH,Internal,,Vinay Kumar Singh,21-Nov-2025 12:50 AM,21-Nov-2025 09:00 AM,techsummary_2001868.pdf (911.75 KB),1.0,5681881.0,KHUDDI RAM,17-Nov-2025 12:18 AM,Accepted-AOC,L1,20-Dec-2025 09:14 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1086698_50,04/AE-IV/2025-26,"Earth Work in Silt Clearance/Scraping of Sarsena Mr. from Km. 0.000 to Km. 5.000, and Sikandarpur Mr. from Km. 0.000 to Km. 1.800",Finance,Admitted,Vinay Kumar Singh,20-Dec-2025 08:18 PM,,BOQ Comparative Chart,V.K. Singh,Internal,,Vinay Kumar Singh,20-Dec-2025 09:13 PM,finsummary_2001868.pdf (390.46 KB),1.0,5681881.0,KHUDDI RAM,INR,"107,477.42",AOC,"14,000",Yes,fixed,,Nil,Nil,89.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,e-Document,13-Nov-2025 10:00 AM,19-Nov-2025 10:30 AM,13-Nov-2025 10:30 AM,18-Nov-2025 05:00 PM,NA ,NA ,13-Nov-2025 10:30 AM,18-Nov-2025 05:00 PM,21-Nov-2025 09:00 AM,ASSISTANT ENGINEER-IV,ASSISTANT ENGINEER-IV SHARDA SAHAYAK KHAND-32 AZAMGARH,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",04/AE-IV/2025-26,2025_UPIDC_1086698_50,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Earth Work in Silt Clearance/Scraping of Sarsena Mr. from Km. 0.000 to Km. 5.000, and Sikandarpur Mr. from Km. 0.000 to Km. 1.800",Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"1,40,000",Civil Works,NA ,Tender,90.0,15.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
