Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Birendra Paswan,Internal,,Birendra Paswan,24-Oct-2025 01:15 PM,24-Oct-2025 03:00 PM,techsummary_1972443.pdf (410.16 KB),Technical,As per Upload,Birendra Paswan,19-Oct-2025 09:58 PM,technical_1972443.pdf,11-Dec-2025,"INR 44,223.24",20.0,Birendra Paswan,29-Dec-2025 11:03 AM,jamuni_28.pdf (554.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1078690_16,03/EESNK1BANSI/2025-26,SiltScraping and jungle clearance of jamuni minor from km 0.000 to 3.000,1,5600977,M/S JAI MAA VAISNO TRADERS,12-Oct-2025 01:11 PM,Accepted-AOC,As per Upload,29-Dec-2025 11:03 AM,1.0,5600977.0,M/S JAI MAA VAISNO TRADERS,INR,"44,223.24",Birendra Paswan,Internal,,Birendra Paswan,06-Dec-2025 11:15 AM,finsummary_1972443.pdf (194.48 KB),Finance,As per Upload,Birendra Paswan,21-Nov-2025 11:29 AM,finance_1972443.pdf,BOQ Comparative Chart,AOC,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,559.0,Nil,Nil,No,04-Oct-2025 10:00 AM,13-Oct-2025 02:00 PM,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,NA ,NA ,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,24-Oct-2025 03:00 PM,SiltScraping and jungle clearance of jamuni minor from km 0.000 to 3.000,SiltScraping and jungle clearance of jamuni minor from km 0.000 to 3.000,Please refer Tender documents. ,NA ,"55,000",Civil Works - Canal,NA ,Rate Contract,90.0,20.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,No ,No,1,Fee/PreQual/Technical,.pdf,Tender Document,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",03/EESNK1BANSI/2025-26,2025_UPIDC_1078690_16,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"1,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5598460,M/S MK CONSTRUCTION,10-Oct-2025 03:12 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:15 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
