S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,pdf,"2,500",Nil,Nil,No,eeredprayagraj,eeredprayagraj,15-Jul-2025 06:30 PM,22-Jul-2025 01:00 PM,15-Jul-2025 06:30 PM,21-Jul-2025 05:00 PM,NA ,NA ,15-Jul-2025 06:30 PM,21-Jul-2025 05:00 PM,29-Jul-2025 01:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,notice 780 date 02-07-2025,2025_REDUP_1057471_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Inter locking Road at gram panchyat Dheenpur mauija Rajwapur Sri Jamal Ahamad house to Imambada to Sri Ram Bind house,Construction of Inter locking Road at gram panchyat Dheenpur mauija Rajwapur Sri Jamal Ahamad house to Imambada to Sri Ram Bind house,Please refer Tender documents. ,NA ,"12,21,000",Civil Works,NA ,Tender,90.0,90.0,eeredprayagraj,211002.0,NA ,NA ,NA ,eeredprayagraj,No ,No,"25,000",No,fixed,,Nil,Nil,AOC,Finance,d,Satyaprakash Mishra,21-Aug-2025 07:02 PM,,BOQ Comparative Chart,Er sp mishra,Internal,,Satyaprakash Mishra,26-Jul-2025 06:27 PM,29-Jul-2025 01:00 PM,techsummary_1924675.pdf (160.28 KB),Technical,d,Satyaprakash Mishra,26-Jul-2025 06:17 PM,,ER SP MISHRA,Internal,ER DP MISHRA,Satyaprakash Mishra,21-Aug-2025 07:10 PM,finsummary_1924675.pdf (767.79 KB),22-Aug-2025,"INR 1,198,430.62",90.0,Satyaprakash Mishra,22-Aug-2025 06:08 PM,dheenpur.pdf (713.00 KB),AWARD OF CONTRACT,1,5353999,Mohd Husain,19-Jul-2025 03:55 PM,Accepted-AOC,accepted,22-Aug-2025 06:08 PM,1.0,5353999.0,Mohd Husain,INR,"1,198,430.62",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2025_REDUP_1057471_1,notice 780 date 02-07-2025,Construction of Inter locking Road at gram panchyat Dheenpur mauija Rajwapur Sri Jamal Ahamad house to Imambada to Sri Ram Bind house,AOC
,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5356148,Shri Ram Bahadur Yadav,21-Jul-2025 12:44 AM,Rejected-Finance,Higher,21-Aug-2025 07:10 PM,,,,,,,,,,AOC
