Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||LMBDGC, mathura",2025_UPIDC_1075147_1,03/EE Lower Mat/2025-26,Lot 01,1.0,5569476.0,M/S TANVI CONSTRUCTION,INR,"458,025.45",1,5574192,M/s DHARMVIR SINGH,30-Sep-2025 01:23 PM,Rejected-Technical,As per Report,04-Oct-2025 08:40 AM,13-Oct-2025,"INR 458,025.45",30.0,Umesh Kumar,13-Oct-2025 11:39 PM,01vrb.pdf (278.00 KB),"NIT 03/EE/Lower Mat/25-26, Lot 01",Umesh Kumar,Internal,,Umesh Kumar,13-Oct-2025 09:55 PM,finsummary_1963246.pdf (22.46 KB),Technical,Report,Umesh Kumar,04-Oct-2025 08:25 AM,,Umesh Kumar,Internal,,Umesh Kumar,04-Oct-2025 08:40 AM,04-Oct-2025 09:00 AM,techsummary_1963246.pdf (51.45 KB),Finance,BOQ Summmary,Umesh Kumar,04-Oct-2025 03:23 PM,,BOQ Comparative Chart,AOC,Executive Engineer,"L.M.B.D.G.C., Mathura","12,000",No,fixed,,Nil,Nil,25-Sep-2025 09:00 AM,30-Sep-2025 02:30 PM,25-Sep-2025 09:00 AM,30-Sep-2025 02:00 PM,NA ,NA ,25-Sep-2025 09:00 AM,30-Sep-2025 02:00 PM,04-Oct-2025 09:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||LMBDGC, mathura",03/EE Lower Mat/2025-26,2025_UPIDC_1075147_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Document,766.0,Nil,Nil,No,Lot 01,Repairing of V.R.B. at Km. 1.600 of Saddikpur minor,Please refer Tender documents. ,NA ,"5,91,000",Civil Works - Canal,NA ,Tender,90.0,30.0,"L.M.B.D.G.C., Mathura",281001.0,NA ,NA ,NA ,"L.M.B.D.G.C., Mathura",No ,No,AOC
,,,,,,,,,2,5573897,M/S KANHAIYA LAL CONTRACTOR,30-Sep-2025 06:55 AM,Rejected-Finance,L3,13-Oct-2025 09:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5569476,M/S TANVI CONSTRUCTION,29-Sep-2025 06:13 AM,Accepted-AOC,L1,13-Oct-2025 11:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5569493,M/S YAMUNA EARTH MOVERS,29-Sep-2025 07:07 AM,Rejected-Finance,L2,13-Oct-2025 09:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5574565,SHRI KRISHAN CONTRACTOR,30-Sep-2025 01:13 PM,Rejected-Technical,As per Report,04-Oct-2025 08:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
