Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
22-Aug-2025,"INR 68,992,364.4",720.0,Jitendra Bahadur Singh,30-Aug-2025 03:11 PM,aoctamauli.pdf (2751.00 KB),Contract Value,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1042592_2,74/UPRNSS/E-TEN/25-26DT06.5.25,Construction of 100 Beded Boys Hostel in Government Homeopathic Medical College And Hospital (Tamauli) Azamgarh,1.0,5256197.0,SHUBHAM CONSTRUCTION AND CONSULTANCY,INR,"68,992,364.4",1,5257704,M/S SHRI PRAKASH SHUKLA,18-Jun-2025 03:19 PM,Rejected-Finance,HIGH BID QUOTED,07-Aug-2025 05:00 PM,Finance,FINANCIAL SUMMARY,Jitendra Bahadur Singh,07-Aug-2025 04:58 PM,finance_1905181.pdf,BOQ Comparative Chart,jitendera bahadur singh,Internal,SANJAY KUMAR VINAY KUMAR SINGH UGRASEN SINGH SUNIL SINGH CHANDEL,Jitendra Bahadur Singh,26-Jun-2025 01:33 PM,26-Jun-2025 01:35 PM,techsummary_1905181.pdf (882.90 KB),Technical,technical summary,Jitendra Bahadur Singh,26-Jun-2025 01:31 PM,technical_1905181.pdf,JITENDERA BAHADUR SINGH,Internal,SANJAY KUMAR VINAY KUMAR SINGH UGRASEN SINGH SUNIL SINGH CHANDEL,Jitendra Bahadur Singh,07-Aug-2025 05:00 PM,finsummary_1905181.pdf (3703.75 KB),AOC,"13,87,000",Yes,fixed,,EE UPRNSS,AZAMGARH,1,FDR - Fixed Deposit,SE UPRNSS GORAKHPUR ZONE,"HIG-B-338, SIDDHARTH ENCLAVE TARAMANDAL, GORAKHPUR",Construction of 100 Beded Boys Hostel in Government Homeopathic Medical College And Hospital (Tamauli) Azamgarh,Construction of 100 Beded Boys Hostel in Government Homeopathic Medical College And Hospital (Tamauli) Azamgarh,Please refer Tender documents. ,NA ,"6,93,53,000",Civil Works,NA ,Tender,30.0,720.0,"HIG-B-338, SIDDHARTH ENCLAVE TARAMANDAL, GORAKHPUR",273001.0,NA ,NA ,NA ,SE UPRNSS GORAKHPUR ZONE,No ,No,"6,490",EE UPRNSS,AZAMGARH,Yes,1,Fee/PreQual/Technical,.pdf,NIT,13-Jun-2025 05:00 PM,19-Jun-2025 10:00 AM,13-Jun-2025 05:00 PM,18-Jun-2025 06:00 PM,NA ,NA ,13-Jun-2025 05:00 PM,18-Jun-2025 06:00 PM,26-Jun-2025 01:35 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,74/UPRNSS/E-TEN/25-26DT06.5.25,2025_UPRNS_1042592_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5256197,SHUBHAM CONSTRUCTION AND CONSULTANCY,17-Jun-2025 11:33 PM,Accepted-AOC,LOWEST BID QUOTED,30-Aug-2025 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
