Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,2025_REDUP_1056647_2,538/RED/VN/2025-26 Dt. 12.06.2025,Vikas Khand Dubauliya ke Bairagal mein ram janki marg indian oil pump ke samne se gram panchyat bairagal aatma chaudhary ke ghar tak cc road nirman karya,1.0,5353593.0,DEEPAK ENTERPRISES,INR,"1,930,256.04",1,5353593,DEEPAK ENTERPRISES,18-Jul-2025 11:18 AM,Accepted-AOC,a,11-Aug-2025 04:47 PM,11-Aug-2025,"INR 1,930,256.04",90.0,Ankur Verma,11-Aug-2025 04:47 PM,14.pdf (22.00 KB),a,ER ANKUR VERMA,Internal,ee,Ankur Verma,29-Jul-2025 12:33 PM,finsummary_1922815.pdf (22.07 KB),Technical,c,Ankur Verma,18-Jul-2025 04:01 PM,,ER ANKUR VERMA,Internal,ee,Ankur Verma,25-Jul-2025 12:32 PM,28-Jul-2025 12:00 PM,techsummary_1922815.pdf (520.80 KB),Finance,c,Ankur Verma,29-Jul-2025 12:13 PM,,BOQ Comparative Chart,AOC,"39,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,538/RED/VN/2025-26 Dt. 12.06.2025,2025_REDUP_1056647_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikas Khand Dubauliya ke Bairagal mein ram janki marg indian oil pump ke samne se gram panchyat bairagal aatma chaudhary ke ghar tak cc road nirman karya,Vikas Khand Dubauliya ke Bairagal mein ram janki marg indian oil pump ke samne se gram panchyat bairagal aatma chaudhary ke ghar tak cc road nirman karya,as per sbd ,NA ,"19,32,000",Civil Works,NA ,Tender,90.0,90.0,WORKS,272001.0,NA ,NA ,NA ,O/O EERED BASTI,No ,No,1.0,SBI Bank,12-Jul-2025 12:00 PM,18-Jul-2025 12:30 PM,12-Jul-2025 12:00 PM,18-Jul-2025 12:00 PM,12-Jul-2025 12:00 PM ,18-Jul-2025 12:00 PM ,12-Jul-2025 12:00 PM,18-Jul-2025 12:00 PM,28-Jul-2025 12:00 PM,EERED BASTI,O/O EERED BASTI,1,Fee/PreQual/Technical,.pdf,technical,AOC
,,,,,,,,,2,5353684,M/S V.K.CONSTRUCTION,18-Jul-2025 11:45 AM,Rejected-Finance,r,29-Jul-2025 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,AOC
