Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical Docoments,Construction work of boundary wall of cemetery in village Meemla.,Construction work of boundary wall of cemetery in village Meemla.,Please refer Tender documents. ,NA ,,Construction Works,NA ,Tender,90.0,NA ,SHAMLI,247776.0,NA ,NA ,NA ,"EE RED Office, Shamli",No ,No,21-Jun-2025 10:00 AM,28-Jun-2025 12:30 PM,21-Jun-2025 10:00 AM,27-Jun-2025 12:00 PM,NA ,NA ,21-Jun-2025 10:00 AM,27-Jun-2025 12:00 PM,04-Jul-2025 10:00 AM,"23,000",No,fixed,,Nil,Nil,1.0,SBI Bank,766.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,196/EERED/TENDER/2025-26/Dt- 27-05-2025,2025_REDUP_1050428_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Shamli,"EE RED Office, Shamli",AOC,Executive Engineer,Internal,,Avinash Kumar,03-Jul-2025 01:56 PM,04-Jul-2025 10:00 AM,techsummary_1909110.pdf (403.68 KB),Finance,OK,Parmod Kumar,04-Jul-2025 03:57 PM,finance_1909110.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Parmod Kumar,19-Jul-2025 04:42 PM,finsummary_1909110.pdf (19.28 KB),Technical,ok,Avinash Kumar,03-Jul-2025 01:54 PM,technical_1909110.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,2025_REDUP_1050428_3,196/EERED/TENDER/2025-26/Dt- 27-05-2025,Construction work of boundary wall of cemetery in village Meemla.,1.0,5276993.0,M/S MARUF ALI CONTRACTOR,INR,"1,098,665.496",1,5276993,M/S MARUF ALI CONTRACTOR,26-Jun-2025 09:39 PM,Accepted-AOC,L1,02-Aug-2025 04:50 PM,25-Jul-2025,"INR 1,101,971.41",180.0,Avinash Kumar,02-Aug-2025 04:50 PM,BidFoundsuccessfull.pdf (19.00 KB),AOC
2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5264419,NATIONAL ENTERPRISES,24-Jun-2025 10:11 PM,Rejected-Finance,L2,19-Jul-2025 04:42 PM,,,,,,,AOC
