Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,Fee/PreQual/Technical,.pdf,NIT,12-Jun-2025 09:00 AM,23-Jun-2025 02:00 PM,12-Jun-2025 09:00 AM,23-Jun-2025 01:00 PM,12-Jun-2025 09:00 AM ,23-Jun-2025 01:00 PM ,12-Jun-2025 09:00 AM,23-Jun-2025 01:00 PM,18-Jul-2025 01:00 PM,"1,00,000",No,fixed,,UPSCIDCO,BASTI,1,FDR - Fixed Deposit,Executive Engineer,"H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,574/ E.E/Basti / Ekikrit Yojna Antargat Community Hall Basti/E-Tender/ 2025-26 Date 11 /06/2025,2025_SCIDC_1047773_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of Community Hall work at Gram Bankatwa me Block Bahadurpur Distt Basti,Construction of Community Hall work at Gram Bankatwa me Block Bahadurpur Distt Basti,As Given in NIT ,NA ,"49,05,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1087(2) Malviya road, near Roadways Tiraha,  ","H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti ",20-Jun-2025 12:00 PM ,UPSCIDCO BASTI,No ,No,"1,652",UPSCIDCO,BASTI,No,AOC,Finance,M/S A R T CONSTRUCTION Found L1,Ramesh Bahadur Shahi,07-Aug-2025 10:45 AM,finance_1903658.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi,Internal,Attached,Ramesh Bahadur Shahi,18-Jul-2025 11:37 AM,18-Jul-2025 01:00 PM,techsummary_1903658.pdf (465.05 KB),Technical,M/S A R T CONSTRUCTION and M/s ADITI CONSTRUCTION Found,Ramesh Bahadur Shahi,18-Jul-2025 11:35 AM,technical_1903658.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,07-Aug-2025 10:48 AM,finsummary_1903658.pdf (703.69 KB),11-Aug-2025,"INR 4,880,475",90.0,Ramesh Bahadur Shahi,11-Aug-2025 10:31 AM,BankatwaLOI.pdf (1020.00 KB),M/s ART Construction Found L1,1,5265323,ADITI CONSTRUCTION,22-Jun-2025 05:27 PM,Rejected-Finance,L2,07-Aug-2025 10:48 AM,1.0,5263735.0,M/S A R T CONSTRUCTION,INR,"4,880,475",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2025_SCIDC_1047773_1,574/ E.E/Basti / Ekikrit Yojna Antargat Community Hall Basti/E-Tender/ 2025-26 Date 11 /06/2025,Construction of Community Hall work at Gram Bankatwa me Block Bahadurpur Distt Basti,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5263735,M/S A R T CONSTRUCTION,20-Jun-2025 07:43 PM,Accepted-AOC,L1,11-Aug-2025 10:31 AM,,,,,,,,,,AOC
