Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"2,354",Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,"Brick work ,cement plaster with all cost of material including Labour and Tool and Plant etc at Gokulpur Pump canal in District Sitapur","Brick relaying work with 40 percent new 1st class brick from chainage (0.010 TO 0.200) km new brick linning with 100 percent new 1st class brick from 0.200 km TO 0.600 km CC work on bed with glass strip,cement plaster",Please refer Tender documents. ,NA ,"26,59,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Gokulpur pump canal in district Sitapur,261001.0,NA ,NA ,NA ,"Office of Executive Engineer, Minor Lift Canal Div",No ,No,"53,200",No,fixed,,Nil,Nil,1.0,SBI Bank,08-Aug-2025 04:00 PM,19-Aug-2025 02:00 PM,08-Aug-2025 04:00 PM,19-Aug-2025 11:00 AM,NA ,NA ,08-Aug-2025 04:00 PM,19-Aug-2025 11:00 AM,21-Aug-2025 06:00 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,12/EE/MLCD/LKO/ETender/2025-26,2025_UPIDM_1064214_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Mr. Ashutosh kumar Singh, Executive Engineer","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC,Finance,Financial Evalution Sheet,Ashutosh Kumar Singh,27-Aug-2025 02:46 PM,finance_1939376.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,,Ashutosh Kumar Singh,21-Aug-2025 05:52 PM,21-Aug-2025 06:00 PM,techsummary_1939376.pdf (2924.43 KB),Technical,Technical Evalution Sheet,Ashutosh Kumar Singh,21-Aug-2025 05:49 PM,technical_1939376.pdf,Ashutosh Kumar Singh EE,Internal,"Mr. Gaurav Singh, Executive Engineer",Ashutosh Kumar Singh,28-Aug-2025 04:23 PM,finsummary_1939376.pdf (2924.43 KB),24-Sep-2025,"INR 2,658,773.3",90.0,Ashutosh Kumar Singh,24-Oct-2025 11:17 AM,Main.pdf (3378.00 KB),Lowest Bid,1,5452625,Krishna construction,18-Aug-2025 09:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 05:49 PM,1.0,5452390.0,M/S SAMARTH CONSTRUCTION,INR,"2,277,099.76",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2025_UPIDM_1064214_1,12/EE/MLCD/LKO/ETender/2025-26,"Brick work ,cement plaster with all cost of material including Labour and Tool and Plant etc at Gokulpur Pump canal in District Sitapur",AOC
,,,,2.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5454433,MAHI CONSTRUCTION,19-Aug-2025 12:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 05:49 PM,,,,,,,,,,AOC
,,,,3.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5449599,M/S M.K. ENTERPRISES,18-Aug-2025 11:28 PM,Rejected-Finance,Higher Bid,28-Aug-2025 04:23 PM,,,,,,,,,,AOC
,,,,4.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5450465,M/S RAJARAM,19-Aug-2025 12:14 AM,Rejected-Finance,Higher Bid,28-Aug-2025 04:23 PM,,,,,,,,,,AOC
,,,,5.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5452390,M/S SAMARTH CONSTRUCTION,18-Aug-2025 09:16 PM,Accepted-AOC,Lowest Bid,24-Oct-2025 11:17 AM,,,,,,,,,,AOC
,,,,6.0,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5449565,M/S Sushila Enterprises,19-Aug-2025 12:48 AM,Rejected-Finance,Higher Bid,28-Aug-2025 04:23 PM,,,,,,,,,,AOC
,,,,7.0,Technical Details ,Technical particulars ,Guaranteed and other technical particulars of the items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5454669,M/s Vikas Builders,19-Aug-2025 12:55 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 05:49 PM,,,,,,,,,,AOC
,,,,8.0,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5453199,RAM PRATAP DIXIT,19-Aug-2025 08:15 AM,Rejected-Finance,Higher Bid,28-Aug-2025 04:23 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5452095,SUMAN TIWARI CONTRACTOR,18-Aug-2025 08:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 05:49 PM,,,,,,,,,,AOC
