Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE AURAIYA,670/RED/Account/Tender No/25-26 Dt 09.07.2025,2025_REDUP_1056864_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,715",Nil,Nil,No,1.0,SBI Bank,19-Jul-2025 04:30 PM,25-Jul-2025 12:30 PM,19-Jul-2025 04:30 PM,25-Jul-2025 12:00 PM,NA ,NA ,19-Jul-2025 04:30 PM,25-Jul-2025 12:00 PM,29-Jul-2025 12:30 PM,widening and strengthening of BP Road to DM Office Main gate to infront PWD office,widening and strengthening of BP Road to DM Office Main gate to infront PWD office,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,AURAIYA,206244.0,NA ,NA ,NA ,Room No. 59 Vikash Bhawan Kakor EE RED AURAIYA,No ,No,Executive Engineer RED Auraiya,Room No. 59 Vikash Bhawan Kakor EE RED AURAIYA,"78,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,NIT,AOC,Shri Shiv Prakash Pandey EE,Internal,Shri Ashok Kumar AE and Shri Shivam Sahu DAO,Ashok Kumar,26-Jul-2025 06:58 PM,29-Jul-2025 12:30 PM,techsummary_1923469.pdf (89.93 KB),Finance,summary,Ashok Kumar,30-Jul-2025 07:51 AM,finance_1923469.pdf,BOQ Comparative Chart,Shri Shiv Prakash Pandey EE Shri Harshit Singh Rajput AE and Shri Shivam Sahu DAO,Internal,Shri Ashok Kumar AE and Shri Shivam Sahu DAO,Ashok Kumar,30-Jul-2025 07:54 AM,finsummary_1923469.pdf (205.60 KB),Technical,Summary,Ashok Kumar,26-Jul-2025 06:55 PM,technical_1923469.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE AURAIYA,2025_REDUP_1056864_1,670/RED/Account/Tender No/25-26 Dt 09.07.2025,widening and strengthening of BP Road to DM Office Main gate to infront PWD office,1.0,5365166.0,M/s VINAY CONSTRUCTIONS,INR,"3,888,959.76",1,5365012,M/S RAJESH KUMAR SAXENA,22-Jul-2025 03:44 PM,Rejected-AOC,L2,18-Aug-2025 09:16 AM,12-Aug-2025,"INR 3,900,661.74",120.0,Ashok Kumar,18-Aug-2025 09:16 AM,PWD.pdf (300.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5365166,M/s VINAY CONSTRUCTIONS,22-Jul-2025 04:18 PM,Accepted-AOC,L1,18-Aug-2025 09:16 AM,,,,,,,AOC
