S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,5225489.0,OM BUILDERS,INR,"5,903,292",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,2025_SCIDC_1041189_1,238/E.E/ET/KNP/2025-26,Construction of Community Centre Hall at Patara Tahsil Ghatampur in Kanpur Nagar UP,1,5226030,M/S HARSH CONSTRUCTION,30-May-2025 12:39 PM,Rejected-AOC,L2,28-Aug-2025 06:51 PM,28-Aug-2025,"INR 5,903,292",300.0,Sagar Porwal,28-Aug-2025 06:50 PM,LOI.pdf (392.00 KB),AOC,"Babu Ram,Executive Engineer",Internal,,Sagar Porwal,04-Jun-2025 01:12 PM,04-Jun-2025 01:15 PM,techsummary_1888878.pdf (465.14 KB),Finance,Financial,Sagar Porwal,28-Aug-2025 06:47 PM,finance_1888878.pdf,BOQ Comparative Chart,"Babu Ram,Executive Engineer",Internal,,Sagar Porwal,28-Aug-2025 06:49 PM,finsummary_1888878.pdf (252.79 KB),Technical,Admitted for technical evaluation,Sagar Porwal,03-Jun-2025 12:14 PM,technical_1888878.pdf,AOC,1,FDR - Fixed Deposit,"1,19,000",No,fixed,,UPSCIDCO LTD,KANPUR,"2,360",UPSCIDCO LTD,KANPUR,No,1,Fee/PreQual/Technical,.pdf,Tender fee and Earnest money receipt with prequalification bid and documents,Construction of Community Centre Hall at Patara Tahsil Ghatampur in Kanpur Nagar UP,Construction of Community Centre Hall at Patara Tahsil Ghatampur in Kanpur Nagar UP,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,300.0,Kanpur Nagar,208026.0,NA ,NA ,NA ,Kanpur,No ,No,21-May-2025 06:00 PM,30-May-2025 04:00 PM,21-May-2025 06:00 PM,30-May-2025 02:00 PM,NA ,NA ,21-May-2025 06:00 PM,30-May-2025 02:00 PM,04-Jun-2025 01:15 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,238/E.E/ET/KNP/2025-26,2025_SCIDC_1041189_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Babu Ram, Executive Engineer",Near Girls Hostel Indira Nagar kalyanpur Kanpur Nagar-208026,AOC
,,,,,,,,,2,5225489,OM BUILDERS,30-May-2025 09:06 AM,Accepted-AOC,L1,28-Aug-2025 06:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,RTGS - RTGS Payment,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
