Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Lt. No. 524 Dt. 05-06-2025,2025_REDUP_1052249_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Construction of Inter Locking and soraon kalyanpur marg se dhkshin Prathmic school maadipur ke bagal se chintamani Princpal house,Construction of Inter Locking and soraon kalyanpur marg se dhkshin Prathmic school maadipur ke bagal se chintamani Princpal house,Please refer Tender documents. ,NA ,"15,45,000",Civil Works,NA ,Tender,90.0,NA ,eeredallahabad,211001.0,NA ,NA ,NA ,eeredallahabad,No ,No,"31,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,pdf,"2,500",Nil,Nil,No,eeredallahabad,eeredallahabad,27-Jun-2025 09:00 AM,02-Jul-2025 03:00 PM,27-Jun-2025 09:00 AM,02-Jul-2025 02:00 PM,NA ,NA ,27-Jun-2025 09:00 AM,02-Jul-2025 02:00 PM,17-Jul-2025 04:30 PM,AOC,Er sp mishra,Internal,Er Dp mishra,Satyaprakash Mishra,17-Jul-2025 04:06 PM,17-Jul-2025 04:30 PM,techsummary_1913259.pdf (825.58 KB),Finance,d,Satyaprakash Mishra,01-Aug-2025 12:26 PM,,BOQ Comparative Chart,Er sp mishra,Internal,Er Dp mishra,Satyaprakash Mishra,01-Aug-2025 01:42 PM,finsummary_1913259.pdf (1410.57 KB),Technical,Summary,Devi Prasad Mishra,16-Jul-2025 05:26 PM,,1,5277738,CHANDRA PRAKASH MISHRA,30-Jun-2025 03:25 PM,Accepted-AOC,accepted,18-Aug-2025 01:34 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2025_REDUP_1052249_1,Lt. No. 524 Dt. 05-06-2025,Construction of Inter Locking and soraon kalyanpur marg se dhkshin Prathmic school maadipur ke bagal se chintamani Princpal house,1.0,5277738.0,CHANDRA PRAKASH MISHRA,INR,"1,475,507.78",16-Aug-2025,"INR 1,475,507.78",90.0,Satyaprakash Mishra,18-Aug-2025 01:34 PM,soroan.pdf (907.00 KB),AWARD OF CONTRACT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5277730,M/S ACHHEY LAL,30-Jun-2025 03:13 PM,Rejected-Finance,Higher,01-Aug-2025 01:42 PM,,,,,,,,,,,,,,,,,AOC
