Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Maintenance work of steel structures of Barrel on Gomti Nagar Protection Bundh Behind Janeshwar Mishra Park. (Lot No.31),Maintenance work of steel structures of Barrel on Gomti Nagar Protection Bundh Behind Janeshwar Mishra Park. (Lot No.31),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,janeshwr mishra park,226010.0,NA ,NA ,NA ,canal colony,No ,No,1.0,SBI Bank,06-Jun-2025 12:00 PM,13-Jun-2025 03:00 PM,06-Jun-2025 12:00 PM,13-Jun-2025 12:00 PM,06-Jun-2025 12:00 PM ,13-Jun-2025 12:00 PM ,06-Jun-2025 12:00 PM,13-Jun-2025 12:00 PM,23-Jun-2025 01:00 PM,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,1.0,dateextended,Date,,590.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",01/AEIV/2025-26,2025_UPIDC_1046287_31,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,660",No,fixed,,Nil,Nil,Assistant Engineer IV,ldsc Lucknow,AOC,Deena Nath Maurya AEIV,Internal,D k Singh AEV,deena nath maurya,25-May-2026 05:15 PM,finsummary_1900168.pdf (914.43 KB),Finance,Boq Summary,deena nath maurya,23-Jun-2025 04:11 PM,finance_1900168.pdf,BOQ Comparative Chart,1.0,5248058.0,m/s mohd. zamil,INR,"82,300.7","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1046287_31,01/AEIV/2025-26,Maintenance work of steel structures of Barrel on Gomti Nagar Protection Bundh Behind Janeshwar Mishra Park. (Lot No.31),1,5248388,m/s mohd zaheer,13-Jun-2025 10:57 AM,Rejected-AOC,L2,21-Oct-2025 02:31 PM,01-Jul-2025,"INR 82,300.7",15.0,deena nath maurya,21-Oct-2025 02:31 PM,agno13.pdf (402.00 KB),Technical,Summary,deena nath maurya,21-Jun-2025 04:58 PM,technical_1900168.pdf,D N Maurya AEIV,Internal,D K Singh AEV,deena nath maurya,21-Jun-2025 05:46 PM,23-Jun-2025 01:00 PM,techsummary_1900168.pdf (564.77 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5248058,m/s mohd. zamil,13-Jun-2025 11:13 AM,Accepted-AOC,L1,21-Oct-2025 02:31 PM,,,,,,,,,,,,,,,,,,,AOC
