S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
1.0,5226919.0,M/S KAY KAY Enterprises,INR,"463,514.25",Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE ECCD Ist,2025_UPPCL_1040555_1,05/ECCD-I/ 2025-26,M and R of Plaster repairing internal painting and other civi Works in Res No 4and30 T66 5and81 4and52 4and54 and 4and46 At Chandralok Hydel officers Colony Lucknow,1,5226919,M/S KAY KAY Enterprises,30-May-2025 08:00 PM,Accepted-AOC,As per Lowest Value,14-Aug-2025 12:32 PM,14-Aug-2025,"INR 651,918.77",120.0,Krishna Kumar,14-Aug-2025 12:32 PM,LOI05.pdf (1127.00 KB),As per Loi,SE,Internal,EE,Arpit Srivastava,17-Jun-2025 04:01 PM,17-Jun-2025 04:05 PM,techsummary_1887442.pdf (445.76 KB),Finance,Financial Summary,Raj Kumar Jaiswal,17-Jun-2025 04:32 PM,finance_1887442.pdf,BOQ Comparative Chart,SE,Internal,EE,Krishna Kumar,25-Jun-2025 09:06 PM,finsummary_1887442.pdf (699.80 KB),Technical,Technical Summary,Arpit Srivastava,04-Jun-2025 08:34 PM,technical_1887442.pdf,AOC,EE,"EE, ECCD-1 ALIGANJ LKO",20-May-2025 10:00 AM,04-Jun-2025 03:30 PM,20-May-2025 10:00 AM,03-Jun-2025 05:00 PM,NA ,NA ,20-May-2025 10:00 AM,03-Jun-2025 05:00 PM,17-Jun-2025 04:05 PM,"13,500",No,fixed,,"EE, ECCD-1 ALIGANJ",Lucknow,Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE ECCD Ist,05/ECCD-I/ 2025-26,2025_UPPCL_1040555_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,180","EE, ECCD-1 ALIGANJ",Lucknow,No,M and R of Plaster repairing internal painting and other civi Works in Res No 4and30 T66 5and81 4and52 4and54 and 4and46 At Chandralok Hydel officers Colony Lucknow,M and R of Plaster repairing internal painting and other civi Works in Res No 4and30 T66 5and81 4and52 4and54 and 4and46 At Chandralok Hydel officers Colony Lucknow,NA ,NA ,"6,51,918",Civil Works,NA ,Tender,120.0,120.0,LUCKNOW,226024.0,NA ,NA ,NA ,"EE, ECCD-1 ALIGANJ LKO",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,RTGS - RTGS Payment,AOC
,,,,,,,,,2,5228704,M/S RAKESH ASSOCIATES,01-Jun-2025 01:00 AM,Rejected-AOC,As Per Higher Value,14-Aug-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Prequal Docs,,,AOC
,,,,,,,,,3,5231247,RAKESH KUMAR TIWARI,02-Jun-2025 09:05 PM,Rejected-Technical,As Per Technical Bid,17-Jun-2025 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,4,5232430,shashank yadav,03-Jun-2025 04:45 PM,Rejected-AOC,As Per Higher Value,14-Aug-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5220869,S R CONSTRUCTIONS,31-May-2025 09:13 PM,Rejected-AOC,As Per Higher Value,14-Aug-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
