Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
767.0,Nil,Nil,No,EE EGCC DIV-2 HARIDWAR,OFFICE OF THE EE EGCC DIV-2 HARIDWAR,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Haridwar||EGCCD-2, haridwar",TENDER NOTICE NO.01/EE/2025-26,2025_UPIDC_1062013_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,30-Aug-2025 03:00 PM,05-Sep-2025 03:00 PM,30-Aug-2025 03:00 PM,05-Sep-2025 11:00 AM,NA ,NA ,30-Aug-2025 03:00 PM,05-Sep-2025 11:00 AM,20-Sep-2025 04:00 PM,"21,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,"Repairing work of circle office eastern ganga canal construction circle, Haridwar.","Repairing work of circle office eastern ganga canal construction circle, Haridwar.",Please refer Tender documents. ,NA ,"10,08,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,HARIDWAR,249401.0,NA ,NA ,NA ,OFFICE OF THE EE EGCC DIV-2 HARIDWAR,No ,No,AOC,YOGESH NIM,Internal,VIKAS AGARWAL,Yogesh Nim,20-Sep-2025 02:35 PM,20-Sep-2025 04:00 PM,techsummary_1952320.pdf (426.39 KB),Finance,Total 02 No. Responses Found Valid for Financial Evaluation.,Yogesh Nim,23-Sep-2025 12:39 PM,finance_1952320.pdf,BOQ Comparative Chart,YOGESH NIM,Internal,VIKAS AGARWAL,Yogesh Nim,23-Sep-2025 01:12 PM,finsummary_1952320.pdf (426.38 KB),Technical,"Total 03 No. Responses Found in Bid and only 02 No. Responses Found valid for Technical Evaluation, Other 01 No. Responses invalid Due to Documents incomplete.",Yogesh Nim,20-Sep-2025 02:26 PM,technical_1952320.pdf,1.0,5516949.0,ABHAY SINGH,INR,"869,250","U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Haridwar||EGCCD-2, haridwar",2025_UPIDC_1062013_3,TENDER NOTICE NO.01/EE/2025-26,"Repairing work of circle office eastern ganga canal construction circle, Haridwar.",1,5516949,ABHAY SINGH,04-Sep-2025 04:46 PM,Accepted-AOC,L1,04-Oct-2025 04:47 PM,04-Oct-2025,"INR 869,250",90.0,Yogesh Nim,04-Oct-2025 04:47 PM,AOC.pdf (250.00 KB),Ag.No.01/EE/2025-26,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5517449,M/S DELTA CONSTRUCTION,05-Sep-2025 10:56 AM,Rejected-Technical,DOCUMENTS INCOMPLETE,20-Sep-2025 02:35 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5517576,NARENDRA KUMAR,04-Sep-2025 09:02 PM,Rejected-Finance,L2,23-Sep-2025 01:12 PM,,,,,,,,AOC
