S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1,5151412,M/S SHAKTI ENTERPRISES,28-Apr-2025 02:10 PM,Rejected-Finance,higher bid rate,07-Oct-2025 01:57 PM,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,2025_UPIDM_1030821_1,01(LOT-1)/EE/BMMDK/2025-26,"Supply, Filling and Fixing of Geotube with making base by mudpump as per Departmental specifications, for protection from flood and erosion near village Arwal, situated at Left bank of River RamGanga, Distt. Hardoi.",1.0,5147740.0,M/S S S ENTERPRISES,INR,"1,248,300",07-Oct-2025,"INR 1,248,300",45.0,PRANAV SINGH,07-Oct-2025 01:59 PM,01EE_1.pdf (511.00 KB),E E,Internal,,PRANAV SINGH,02-May-2025 03:34 PM,02-May-2025 03:35 PM,techsummary_1864401.pdf (505.06 KB),Finance,All 3 No Financial bids are opened by tender opening committee.,PRANAV SINGH,06-Oct-2025 12:29 PM,,BOQ Comparative Chart,E E,Internal,,PRANAV SINGH,07-Oct-2025 01:57 PM,finsummary_1864401.pdf (511.25 KB),Technical,All 4 No Technical bids are opened by tender opening committee.,PRANAV SINGH,02-May-2025 03:24 PM,,AOC,21-Apr-2025 03:00 PM,29-Apr-2025 03:00 PM,21-Apr-2025 03:00 PM,28-Apr-2025 05:00 PM,NA ,NA ,21-Apr-2025 03:00 PM,28-Apr-2025 05:00 PM,02-May-2025 03:35 PM,Executive Engineer,"Executive Engineer, Barrage Mechanical Maintenance Division, Kanpur Irrigation Department U.P., 67-A, Cantt, Kanpur-208004",1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD. Pre bid qualification","26,900",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,01(LOT-1)/EE/BMMDK/2025-26,2025_UPIDM_1030821_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"Supply, Filling and Fixing of Geotube with making base by mudpump as per Departmental specifications, for protection from flood and erosion near village Arwal, situated at Left bank of River RamGanga, Distt. Hardoi.","Supply, Filling and Fixing of Geotube with making base by mudpump as per Departmental specifications, for protection from flood and erosion near village Arwal, situated at Left bank of River RamGanga, Distt. Hardoi.",Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,120.0,45.0,"village Arwal, Distt. Hardoi.",241402.0,NA ,NA ,NA ,"Office of EE, BMMD, 67A, Kanpur",No ,No,AOC
2,5151816,M/S SHIV KUMAR SINGH THEKEDAR,28-Apr-2025 03:23 PM,Rejected-Technical,technically not qualified,02-May-2025 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,5147740,M/S S S ENTERPRISES,26-Apr-2025 06:11 PM,Accepted-AOC,lowest bid rate,07-Oct-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,5149176,swastik traders,28-Apr-2025 12:36 PM,Rejected-Finance,higher bid rate,07-Oct-2025 01:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
