Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||ID, hathras",2025_UPIDC_1076801_9,01/EE/2025-26,Silt clearance of Ladpur Minor from Km- 0.000 To Km- 8.640,1.0,5568375.0,Pl Engineering & construction,INR,"186,819",1,5568175,MANVENDRA PRATAP SINGH CONTRACTOR AND SUPPLIER,27-Sep-2025 04:06 PM,Rejected-Finance,AS PER FININCIAL,09-Oct-2025 02:06 PM,25-Oct-2025,"INR 186,819",21.0,Chandramauli Dwivedi,31-Oct-2025 01:09 PM,17.pdf (378.00 KB),AS PER FININCIAL,External,,Chandramauli Dwivedi,09-Oct-2025 02:06 PM,finsummary_1967457.pdf (278.47 KB),Technical,AS PER TECHINICAL,Chandramauli Dwivedi,06-Oct-2025 05:31 PM,technical_1967457.pdf,CHANDRAMAULI DWIVEDI EE,External,,Chandramauli Dwivedi,06-Oct-2025 06:11 PM,07-Oct-2025 09:00 AM,techsummary_1967457.pdf (372.63 KB),Finance,AS PER FININCIAL,Chandramauli Dwivedi,09-Oct-2025 12:55 PM,finance_1967457.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,TENDERNOTICE,1.0,SBI Bank,Silt clearance of Ladpur Minor from Km- 0.000 To Km- 8.640,Silt clearance of Ladpur Minor from Km- 0.000 To Km- 8.640,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,21.0,Hathras,204101.0,NA ,NA ,NA ,ID HATHRAS,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||ID, hathras",01/EE/2025-26,2025_UPIDC_1076801_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Sep-2025 09:00 AM,29-Sep-2025 03:00 PM,24-Sep-2025 09:30 AM,29-Sep-2025 11:00 AM,NA ,NA ,24-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,07-Oct-2025 09:00 AM,766.0,Nil,Nil,No,"EE, ID HATHRAS",ID HATHRAS,"5,080",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5568375,Pl Engineering & construction,27-Sep-2025 05:33 PM,Accepted-AOC,AS PER AOC,31-Oct-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
