Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,461-1/E.E. BLY/E-Tender/BLY/2025-26 Dt. 29.07.2025,2025_SCIDC_1061071_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ","1,652",EE UPSCIDCO,BAREILLY,No,Construction of C.C. Road and Drain Work at Vill. Atriya in Suresh House to Jamuna Prasad (Vidhayak Nidhi),Construction of C.C. Road and Drain Work at Vill. Atriya in Suresh House to Jamuna Prasad (Vidhayak Nidhi),Construction of C.C. Road and Drain Work at Vill. Atriya in Suresh House to Jamuna Prasad (Vidhayak Nidhi) ,NA ,"12,29,031",Civil Works - Roads,Const. of C.C. Road and Drain Work at Vill. Atriya ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",29-Jul-2025 05:00 PM,05-Aug-2025 02:00 PM,29-Jul-2025 05:00 PM,05-Aug-2025 01:00 PM,NA ,NA ,29-Jul-2025 05:00 PM,05-Aug-2025 01:00 PM,07-Aug-2025 05:35 PM,1.0,RTGS - RTGS Payment,"24,600",No,fixed,,EE UPSCIDCO,BAREILLY,AOC,Technical,Technical Bid Opening Summary,Charan Singh Arya,07-Aug-2025 05:25 PM,technical_1933043.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Satya Pal Singh, Bhaskar Mishra",Charan Singh Arya,08-Aug-2025 03:59 PM,finsummary_1933043.pdf (765.04 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,08-Aug-2025 03:54 PM,finance_1933043.pdf,BOQ Comparative Chart,Charan Singh Arya,Internal,"Charan Singh Arya, Satya Pal Singh, Bhaskar Mishra",Charan Singh Arya,07-Aug-2025 05:33 PM,07-Aug-2025 05:35 PM,techsummary_1933043.pdf (287.16 KB),08-Aug-2025,"INR 1,228,662.29",60.0,Charan Singh Arya,12-Aug-2025 02:40 PM,LOI1.pdf (768.00 KB),Contract Value Rs. 1228662.29,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2025_SCIDC_1061071_1,461-1/E.E. BLY/E-Tender/BLY/2025-26 Dt. 29.07.2025,Construction of C.C. Road and Drain Work at Vill. Atriya in Suresh House to Jamuna Prasad (Vidhayak Nidhi),1.0,5396206.0,Syed Construction,INR,"1,228,662.29",1,5402345,m i construction,05-Aug-2025 12:12 AM,Rejected-AOC,IInd Lowest Rate,12-Aug-2025 02:40 PM,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5396206,Syed Construction,02-Aug-2025 01:24 AM,Accepted-AOC,Ist Lowest Rate,12-Aug-2025 02:40 PM,AOC
