Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2025_REDUP_1057174_6,410 /RED Tender KUSHINAGAR,VIKASH KHAND CAPTANGANJ KE GRAM SABHA BADHARA NAGA ME CHATRIY BABA KE STHAN KE BAGAL VALE PAKHRE KA SANDRIKARAN,1.0,5355212.0,SAKSHIKA & PRIYANSHI TRADERS,INR,100.0,1,5357244,M/S SUNDAR CONSTRUCTION,19-Jul-2025 05:51 PM,Rejected-Finance,L2,07-Aug-2025 01:18 PM,07-Aug-2025,INR 100,90.0,Virendra Kumar Pandey,07-Aug-2025 02:15 PM,6.pdf (144.00 KB),EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,23-Jul-2025 11:29 AM,23-Jul-2025 01:00 PM,techsummary_1924214.pdf (134.55 KB),Finance,Bid Opening Summary,Virendra Kumar Pandey,23-Jul-2025 03:55 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,07-Aug-2025 01:18 PM,finsummary_1924214.pdf (144.22 KB),Technical,Bid opening Summary,Virendra Kumar Pandey,23-Jul-2025 10:13 AM,,AOC,EE RED KUSHINAGAR,EE RED KUSHINAGAR,VIKASH KHAND CAPTANGANJ KE GRAM SABHA BADHARA NAGA ME CHATRIY BABA KE STHAN KE BAGAL VALE PAKHRE KA SANDRIKARAN,VIKASH KHAND CAPTANGANJ KE GRAM SABHA BADHARA NAGA ME CHATRIY BABA KE STHAN KE BAGAL VALE PAKHRE KA SANDRIKARAN,Please refer Tender documents. ,NA ,"12,68,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,410 /RED Tender KUSHINAGAR,2025_REDUP_1057174_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,336",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"25,000",No,fixed,,Nil,Nil,16-Jul-2026 01:18 AM,21-Jul-2025 03:00 PM,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,NA ,NA ,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,23-Jul-2025 01:00 PM,AOC
,,,,,,,,,2,5355212,SAKSHIKA & PRIYANSHI TRADERS,19-Jul-2025 06:06 PM,Accepted-AOC,L1,07-Aug-2025 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,AOC
