S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,NIT,"37,000",No,fixed,,UPSCIDC,Agra,"1,652",UPSCIDC,Agra,No,Construction of C.C. Road And Drain From MMIG 17 to Prem Singh House at Indira Puram B Block Agra.,Construction of C.C. Road And Drain From MMIG 17 to Prem Singh House at Indira Puram B Block Agra.,Please refer Tender documents. ,NA ,"18,57,000",Civil Works,NA ,Tender,180.0,180.0,SIKANDRA,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,11-Jul-2025 04:00 PM,18-Jul-2025 01:00 PM,11-Jul-2025 04:00 PM,18-Jul-2025 12:00 PM,NA ,NA ,11-Jul-2025 04:00 PM,18-Jul-2025 12:00 PM,31-Jul-2025 03:35 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,42/AGR/MLACANTT/25-26,2025_SCIDC_1056488_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"Ex. En. Office H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",AOC,Executive Engineer,Internal,,Rakesh Sikarwar,31-Jul-2025 03:32 PM,31-Jul-2025 03:35 PM,techsummary_1922501.pdf (461.95 KB),Finance,Rate of M/S RAGHAV CONSTRUCTION is Accepted.,Rakesh Sikarwar,07-Aug-2025 03:10 PM,finance_1922501.pdf,BOQ Comparative Chart,Shri R.K. Sikarwar,Internal,,Rakesh Sikarwar,07-Aug-2026 12:43 PM,finsummary_1922501.pdf (338.92 KB),Technical,All bids are ok,Rakesh Sikarwar,31-Jul-2025 03:14 PM,technical_1922501.pdf,1,5351931,M/S Om Constructions,18-Jul-2025 01:25 AM,Rejected-AOC,OK,07-Aug-2025 04:38 PM,1.0,5351722.0,RAGHAV CONSTRUCTION,INR,"1,856,931.29",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1056488_1,42/AGR/MLACANTT/25-26,Construction of C.C. Road And Drain From MMIG 17 to Prem Singh House at Indira Puram B Block Agra.,07-Aug-2025,"INR 1,856,931.29",180.0,Rakesh Sikarwar,07-Aug-2025 04:38 PM,42fragr.pdf (339.00 KB),AOC
,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5351722,RAGHAV CONSTRUCTION,17-Jul-2025 10:04 PM,Accepted-AOC,OK,07-Aug-2025 04:38 PM,,,,,,,,,,,,,,,,AOC
