Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Gorakhpur Industrial Development Authority,2499/GIDA/2025-26 DT. 23.07.2025,2025_UGIDA_1060198_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,26-Jul-2025 06:55 PM,01-Aug-2025 04:00 PM,26-Jul-2025 06:55 PM,01-Aug-2025 03:00 PM,NA ,NA ,26-Jul-2025 06:55 PM,01-Aug-2025 03:00 PM,06-Aug-2025 05:00 PM,"2,950",Nil,Nil,No,"20,53,000",No,fixed,,Nil,Nil,1.0,SBI Bank,CEO GIDA,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,1.0,Fee/PreQual/Technical,.pdf,NIT,Construction of 18 M wide Road R2 Drain and Culverts in Sector 25 GIDA Gorakhpur,Construction of 18 M wide Road R2 Drain and Culverts in Sector 25 GIDA Gorakhpur,Please refer Tender documents. ,NA ,"3,70,41,044",Civil Works,NA ,Tender,90.0,365.0,GIDA GORAKHPUR,273212.0,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR ,25-May-2026 12:41 PM ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,No ,No,AOC,Technical,bid opend,SURESH YADAV,01-Aug-2025 06:45 PM,,CEO GIDA,Internal,M(C) GM(F) ACEO,KAPIL SHARMA,21-Aug-2025 12:41 PM,finsummary_1930827.pdf (440.18 KB),Finance,bid opened Suss fully,KAPIL SHARMA,06-Aug-2025 05:07 PM,,BOQ Comparative Chart,CEO GIDA,Internal,SM(CIVIL)GM(F)ACEO,SURESH YADAV,06-Aug-2025 04:54 PM,06-Aug-2025 05:00 PM,techsummary_1930827.pdf (453.29 KB),21-Aug-2025,"INR 36,111,313.67",365.0,KAPIL SHARMA,21-Aug-2025 05:56 PM,3213.pdf (440.00 KB),1.0,5394555.0,msdorgawatienterprises,INR,"36,111,313.67",Gorakhpur Industrial Development Authority,2025_UGIDA_1060198_1,2499/GIDA/2025-26 DT. 23.07.2025,Construction of 18 M wide Road R2 Drain and Culverts in Sector 25 GIDA Gorakhpur,1.0,5394555.0,msdorgawatienterprises,01-Aug-2025 01:17 PM,Accepted-AOC,L1,21-Aug-2025 05:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T2,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5390724.0,R.K.TRADERS & CONSTRUCTION PRIVATE LIMITED,01-Aug-2025 12:44 PM,Rejected-Finance,L2,21-Aug-2025 05:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
