EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,85,100",No,fixed,,EE,AGRA,18-Jul-2025 03:00 PM,26-Jul-2025 10:00 AM,18-Jul-2025 03:00 PM,25-Jul-2025 05:00 PM,NA ,NA ,18-Jul-2025 03:00 PM,25-Jul-2025 05:00 PM,30-Jul-2025 10:00 AM,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA",1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"CONSTRUCTION OF MODREN WORKSHOP (OPTION 1) AT GOVT. I.T.I. CAMPUS ETMADPUR, DISTT-AGRA","CONSTRUCTION OF MODREN WORKSHOP (OPTION 1) AT GOVT. I.T.I. CAMPUS ETMADPUR, DISTT-AGRA",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,"ETMADPUR, AGRA",283202.0,NA ,NA ,NA ,AGRA,No ,No,"8,850",EE,AGRA,No,1,BG - Bank Guarantee,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,91/SE/E-TENDER/2025-26,2025_UPRNS_1058389_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, ASHISH TRIVEDI ACCOUNTANT",NAGENDRA YADAV,30-Jul-2025 02:28 PM,finsummary_1926430.pdf (526.31 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,29-Jul-2025 05:04 PM,technical_1926430.pdf,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, ASHISH TRIVEDI ACCOUNTANT",NAGENDRA YADAV,29-Jul-2025 05:22 PM,30-Jul-2025 10:00 AM,techsummary_1926430.pdf (526.31 KB),Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,30-Jul-2025 02:20 PM,finance_1926430.pdf,BOQ Comparative Chart,1,5372195,M/s B.N. GOEL AND COMPANY,25-Jul-2025 02:29 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,30-Jul-2025 02:28 PM,1.0,5373722.0,prabhat associates,INR,"29,209,120.5",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2025_UPRNS_1058389_1,91/SE/E-TENDER/2025-26,"CONSTRUCTION OF MODREN WORKSHOP (OPTION 1) AT GOVT. I.T.I. CAMPUS ETMADPUR, DISTT-AGRA",14-Aug-2025,"INR 29,209,120.5",270.0,NAGENDRA YADAV,19-Aug-2025 02:22 PM,91.pdf (242.00 KB),QUOTED AMOUNT LOWER THEN OTHER BIDER,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5374335,M.S. Construction,25-Jul-2025 01:01 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,30-Jul-2025 02:28 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5373722,prabhat associates,25-Jul-2025 09:14 AM,Accepted-AOC,QUOTED AMOUNT LOWER THEN OTHER BIDER,19-Aug-2025 02:22 PM,,,,,,,,,,,,,,,,,AOC
