Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Office of The Director Ground Water Department||Joint Director Allahabad||Sr. Hydrogeologist, GWD Dn-Varanasi (Hydrological)",04/PIEZO/VARANASI/2025-26,2025_UPGWD_1073771_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,CONSTRUCTION/INSTALLATION OF NEW PIZOMETERS,CONSTRUCTION/INSTALLATION OF 25 NUMBERS OF NEW PIEZOMETERS UNDER THE JURISDICTION OF SENIOR HYDROGEOLOGIST GROUND WATER DEPARTMENT DIVISION VARANASI,Please refer Tender documents. ,NA ,,Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,30.0,45.0,DIVISION VARANASI,221002.0,NA ,NA ,NA ,Sr Hydrogeologist OFFICE GWD DIV VARANASI,No ,No,15-Sep-2025 11:00 AM,23-Sep-2025 01:00 PM,15-Sep-2025 12:00 PM,23-Sep-2025 12:00 PM,NA ,NA ,15-Sep-2025 12:00 PM,23-Sep-2025 12:00 PM,23-Sep-2025 03:15 PM,SENIOR HYDROGEOLOGIST,Sr Hydrogeologist OFFICE GWD DIV VARANASI,1.0,Fee/PreQual/Technical,.pdf,EMD,"1,000",Nil,Nil,No,"50,600",No,fixed,,Nil,Nil,1.0,SBI Bank,1.0,Dare Update of Tender,Date,,AOC,Namrata Jaiswal,Internal,Swapnil K Rai Sapana Singh Rashid Ali Saiyad Z Haider,Namrata Jaiswal,23-Sep-2025 03:11 PM,23-Sep-2025 03:15 PM,techsummary_1960599.pdf (606.05 KB),Finance,Bid of Jata Shankar Rai Contractor is lowest.,Namrata Jaiswal,23-Sep-2025 04:33 PM,finance_1960599.pdf,BOQ Comparative Chart,Namrata Jaiswal,Internal,Swapnil K Rai Sapana Singh Rashid Ali Saiyad Z Haider,Namrata Jaiswal,23-Sep-2025 04:40 PM,finsummary_1960599.pdf (606.05 KB),Technical,Total 03 numbers of bid were received and all three were admitted.,Namrata Jaiswal,23-Sep-2025 03:05 PM,technical_1960599.pdf,1.0,5546515.0,JATA SHANKAR RAI CONTRACTOR,INR,"2,946,309.26","Office of The Director Ground Water Department||Joint Director Allahabad||Sr. Hydrogeologist, GWD Dn-Varanasi (Hydrological)",2025_UPGWD_1073771_1,04/PIEZO/VARANASI/2025-26,CONSTRUCTION/INSTALLATION OF NEW PIZOMETERS,1.0,5546515.0,JATA SHANKAR RAI CONTRACTOR,19-Sep-2025 06:04 PM,Accepted-AOC,Lowest value with GST,08-Oct-2025 05:29 PM,08-Oct-2025,"INR 2,946,309.26",23.0,Namrata Jaiswal,08-Oct-2025 05:29 PM,AOCPiezovns.pdf (810.00 KB),Contract value with GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER FEES,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5551490.0,M/S GOPI ENTERPRISES,22-Sep-2025 11:48 AM,Rejected-AOC,Low value with GST,08-Oct-2025 05:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TCHNICAL BID DOCUMENTS,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5550923.0,M/s Shiva Enterprises,22-Sep-2025 02:13 PM,Rejected-AOC,Lower value with GST,08-Oct-2025 05:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
