Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Under District Lucknow, Construction of CC road from Suggamau Krishna Vihar to in front of Vikas Singh house under Indira Priyadarshini ward, Lot No 3","Under District Lucknow, Construction of CC road from Suggamau Krishna Vihar to in front of Vikas Singh house under Indira Priyadarshini ward, Lot No 3",Please refer Tender documents. ,NA ,"42,40,000",Civil Works,NA ,Tender,90.0,90.0,Lucknow,226016.0,SE RED LUCKNOW Circle  ,"SE RED LUCKNOW Circle Near Vikas Bhawan, Sarvoday Nagar, Lucknow ",21-Jul-2025 11:00 AM ,SE RED LUCKNOW Circle,No ,No,SE RED LUCKNOW Circle,"SE RED LUCKNOW Circle Near Vikas Bhawan, Sarvoday Nagar, Lucknow",1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,"84,800",No,percentage,2.0%,Nil,Nil,"5,000",Nil,Nil,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE,1094/SE RED Lucknow/Lucknow/25-26 Dt 02/07/2025,2025_REDUP_1056636_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,11-Jul-2025 06:55 PM,25-Jul-2025 12:30 PM,11-Jul-2025 06:55 PM,25-Jul-2025 12:00 PM,NA ,NA ,11-Jul-2025 06:55 PM,25-Jul-2025 12:00 PM,12-Aug-2025 12:00 PM,AOC,Technical,Summary,Gyanendra Kumar,25-Jul-2025 01:22 PM,,Er Gyanendra Kumar SE RED Lucknow,Internal,,Gyanendra Kumar,30-Aug-2025 03:02 PM,finsummary_1922793.pdf (2738.64 KB),Finance,Summary,Gyanendra Kumar,18-Aug-2025 09:58 AM,,BOQ Comparative Chart,Er Gyanendra Kumar SE RED Lucknow,Internal,,Gyanendra Kumar,08-Aug-2025 01:20 PM,12-Aug-2025 12:00 PM,techsummary_1922793.pdf (138.65 KB),30-Aug-2025,"INR 5,173,992",90.0,Gyanendra Kumar,30-Aug-2025 03:04 PM,1094_3.pdf (2739.00 KB),1,5371565,SHIVAM CONSTRUCTION,24-Jul-2025 04:15 PM,Accepted-AOC,AOC,30-Aug-2025 03:04 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE,2025_REDUP_1056636_3,1094/SE RED Lucknow/Lucknow/25-26 Dt 02/07/2025,"Under District Lucknow, Construction of CC road from Suggamau Krishna Vihar to in front of Vikas Singh house under Indira Priyadarshini ward, Lot No 3",1.0,5371565.0,SHIVAM CONSTRUCTION,INR,"5,173,992",AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5371891,Vishen Traders,24-Jul-2025 06:48 PM,Rejected-Finance,Rejected,30-Aug-2025 03:02 PM,,,,,,,,,,AOC
