S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5554307.0,M/S INDRAJEET SINGH,INR,"720,576.8","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi||JDBC, jhansi",2025_UPIDC_1073501_8,02/EE/2025-26,Clearance of internal Section of GMC between Km 14.000 and Km 22.600 Lot08,1,5554232,M/S HARDIK ENTERPRISES,23-Sep-2025 12:43 PM,Rejected-Finance,L4,18-Oct-2025 02:53 PM,18-Oct-2025,"INR 720,576.8",15.0,Brajesh kumar Porwal,18-Oct-2025 04:28 PM,AOC08.pdf (247.00 KB),Ag No 12/EE/2025-26,Brajesh kumar Porwal,Internal,Pankaj Singh,Brajesh kumar Porwal,18-Oct-2025 02:53 PM,finsummary_1960577.pdf (4598.68 KB),Technical,Bid No 5546364 5552863 5554232 5554243 and 5554307 Admitted,Brajesh kumar Porwal,27-Sep-2025 05:27 PM,technical_1960577.pdf,Brajesh kumar Porwal,Internal,Pankaj,Brajesh kumar Porwal,29-Sep-2025 11:13 AM,29-Sep-2025 11:30 AM,techsummary_1960577.pdf (6130.32 KB),Finance,Bid No 5546364 5552863 5554232 5554243 and 5554307 Admitted,Brajesh kumar Porwal,18-Oct-2025 01:10 PM,finance_1960577.pdf,BOQ Comparative Chart,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi||JDBC, jhansi",02/EE/2025-26,2025_UPIDC_1073501_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Clearance of internal Section of GMC between Km 14.000 and Km 22.600 Lot08,Clearance of internal Section of GMC between Km 14.000 and Km 22.600 Lot08,Please refer Tender documents. ,NA ,"10,70,000",Civil Works,NA ,Tender,90.0,15.0,jhansi,284001.0,NA ,NA ,NA ,E.E. J.D.B.C Jhansi,No ,No,795.0,Nil,Nil,No,Executive EngineerJ.D.B.C Jhansi,Executive EngineerJ.D.B.C Jhansi,1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,SBI Bank,15-Sep-2025 10:00 AM,23-Sep-2025 03:30 PM,15-Sep-2025 10:00 AM,23-Sep-2025 03:00 PM,NA ,NA ,15-Sep-2025 10:00 AM,23-Sep-2025 03:00 PM,29-Sep-2025 11:30 AM,"21,400",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5554307,M/S INDRAJEET SINGH,23-Sep-2025 01:49 PM,Accepted-AOC,L1,18-Oct-2025 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5546364,ms manoj kumar thekedar,19-Sep-2025 06:07 PM,Rejected-Finance,L3,18-Oct-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5552863,M/S SHRI SHARDA CONSTRUCTION,22-Sep-2025 09:55 PM,Rejected-Finance,L5,18-Oct-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5554243,Shrishti Construction,23-Sep-2025 01:42 PM,Rejected-Finance,L2,18-Oct-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
