S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5507181.0,SUMAN ENTERPRISES,INR,"1,312,194.62",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1067323_1,20250825113-2,Repair of UPSWC Godowns at I.A.Panki (Kanpur)-2,1,5505199,Ankur Constructions,28-Aug-2025 02:19 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 11:56 AM,24-Oct-2025,"INR 1,312,194.62",60.0,Satakshi Nandan,29-Oct-2025 11:56 AM,panki2.pdf (517.00 KB),Work Award,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Rakesh Kumar Rawat,27-Sep-2025 10:45 AM,finsummary_1946522.pdf (493.33 KB),Technical,Technical Bid Result,Madan Pal Singh,22-Sep-2025 12:19 PM,technical_1946522.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,22-Sep-2025 12:38 PM,22-Sep-2025 04:00 PM,techsummary_1946522.pdf (492.05 KB),Finance,Financial Bid Result,Rakesh Kumar Rawat,27-Sep-2025 10:31 AM,finance_1946522.pdf,BOQ Comparative Chart,AOC,21-Aug-2025 06:00 PM,29-Aug-2025 03:00 PM,21-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,NA ,NA ,21-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,22-Sep-2025 04:00 PM,UP STATE WAREHOUSING CORPORATION,20250825113-2,2025_UPSWC_1067323_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Repair of UPSWC Godowns at I.A.Panki (Kanpur)-2,Repair of UPSWC Godowns at I.A.Panki (Kanpur)-2,Only registered contractor with UPSWC can apply ,NA ,"15,43,758",Civil Works,Maintenance /Construction Work ,Tender,90.0,60.0,I.A.Panki (Kanpur),208020.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,25-Aug-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"1,180",U.P. State warehousing corporation,Lucknow,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,1.0,RTGS - RTGS Payment,"30,900",No,fixed,,U.P. State warehousing corporation,Lucknow,AOC
,,,,,,,,,2,5506251,JAFARGANJ CONSTRUCTION,28-Aug-2025 07:47 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5506278,MAA DURGA CONSTRUCTION,28-Aug-2025 08:05 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5507461,MS UMRAO TRADERS,29-Aug-2025 01:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Sep-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5507181,SUMAN ENTERPRISES,29-Aug-2025 01:14 PM,Accepted-AOC,Selected From lottery system,29-Oct-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
