Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1055450_1,026/E.E./SBL/NIDHI/2025-26 Dt- 08-07-2025,"Construction work of 175.00 m CC road and drain from Jagdish Sharan Sarraf Saraswati Inter College towards Chandausi Tower in Hanuman Garhi, Chandausi city, district Sambhal. (NIDHI WORK)",1.0,5320384.0,NAR SINGH KUMAR CONTRACTOR,INR,"2,117,164.66",1,5325383,M/S A TO Z ASSOCIATES,14-Jul-2025 11:04 AM,Rejected-Finance,AMOUNT IS HIGH,22-Jul-2025 02:57 PM,29-Jul-2025,"INR 2,117,800",60.0,Avdhesh kumar Verma,12-Aug-2025 03:53 PM,026NIT26WOSBL.pdf (361.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,22-Jul-2025 02:57 PM,finsummary_1920309.pdf (2015.14 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,21-Jul-2025 10:50 AM,technical_1920309.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,21-Jul-2025 11:08 AM,21-Jul-2025 12:00 PM,techsummary_1920309.pdf (368.36 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,22-Jul-2025 02:35 PM,finance_1920309.pdf,BOQ Comparative Chart,AOC,"43,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,1,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,026/E.E./SBL/NIDHI/2025-26 Dt- 08-07-2025,2025_SCIDC_1055450_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"E.E., UPSCIDCO, SAMBHAL","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD","Construction work of 175.00 m CC road and drain from Jagdish Sharan Sarraf Saraswati Inter College towards Chandausi Tower in Hanuman Garhi, Chandausi city, district Sambhal. (NIDHI WORK)","Construction work of 175.00 m CC road and drain from Jagdish Sharan Sarraf Saraswati Inter College towards Chandausi Tower in Hanuman Garhi, Chandausi city, district Sambhal. (NIDHI WORK)",Please refer Tender documents. ,NA ,"21,17,800",Civil Works - Roads,NA ,Tender,60.0,60.0,SAMBHAL,244412.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,08-Jul-2025 06:00 PM,15-Jul-2025 11:00 AM,08-Jul-2025 06:00 PM,15-Jul-2025 10:00 AM,NA ,NA ,08-Jul-2025 06:00 PM,15-Jul-2025 10:00 AM,21-Jul-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"1,652",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,AOC
,,,,,,,,,2,5320384,NAR SINGH KUMAR CONTRACTOR,13-Jul-2025 10:46 AM,Accepted-AOC,AMOUNT IS LOWEST,12-Aug-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,PRICE BID,,,,,AOC
