Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Summary,deena nath maurya,18-Jul-2025 12:00 PM,technical_1920323.pdf,28-Jul-2025,"INR 162,164.55",30.0,deena nath maurya,24-Oct-2025 11:51 AM,agno46.pdf (474.00 KB),AOC,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,18-Jul-2025 01:19 PM,21-Jul-2025 01:00 PM,techsummary_1920323.pdf (914.43 KB),1,5330818,M/S Divyansh Traders,15-Jul-2025 09:58 AM,Rejected-AOC,L2,24-Oct-2025 11:51 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1055385_15,02/AEIV/2025-26,"P/F and Repairing work on Roof at E-in-C Office Building, Cantt Road Lucknow.(Lot No.15)",Finance,Summary,deena nath maurya,21-Jul-2025 03:13 PM,finance_1920323.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,21-Jul-2025 04:22 PM,finsummary_1920323.pdf (914.43 KB),1.0,5330611.0,M/s Santosh Kumar Shrivastava,INR,"162,164.55",AOC,1.0,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,590.0,Nil,Nil,No,1.0,SBI Bank,"P/F and Repairing work on Roof at E-in-C Office Building, Cantt Road Lucknow.(Lot No.15)","P/F and Repairing work on Roof at E-in-C Office Building, Cantt Road Lucknow.(Lot No.15)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,E-in-C Office,226001.0,NA ,NA ,NA ,canal Colony,No ,No,"3,340",No,fixed,,Nil,Nil,Assistant Engineer IV,LDSC Lucknow,09-Jul-2025 12:00 PM,15-Jul-2025 03:00 PM,09-Jul-2025 12:00 PM,15-Jul-2025 12:00 PM,09-Jul-2025 12:00 PM ,15-Jul-2025 12:00 PM ,09-Jul-2025 12:00 PM,15-Jul-2025 12:00 PM,21-Jul-2025 01:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",02/AEIV/2025-26,2025_UPIDC_1055385_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,2,5330611,M/s Santosh Kumar Shrivastava,15-Jul-2025 08:57 AM,Accepted-AOC,L1,24-Oct-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,5328900,PRECISE POWER PROJECTS PRIVATE LIMITED,14-Jul-2025 10:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Jul-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
