Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,e-Document,"2,33,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",02/E.E./2025-26,2025_UPIDC_1079765_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Lot-02,Chandeshwar Dy. for Renovation work of service road,Please refer Tender documents. ,NA ,"23,30,000",Civil Works,NA ,Tender,90.0,30.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,1.0,SBI Bank,04-Oct-2025 10:00 AM,10-Oct-2025 11:30 AM,04-Oct-2025 10:30 AM,09-Oct-2025 05:00 PM,NA ,NA ,04-Oct-2025 10:30 AM,09-Oct-2025 05:00 PM,18-Oct-2025 12:30 PM,354.0,Nil,Nil,No,EXECTIVE ENGINEER,"EXECTIVE ENGINEER SARDA SAHAYAK KHAND-32, AZAMGARH",AOC,H.G.,Internal,,Harshendra Gupta,15-Oct-2025 03:28 PM,18-Oct-2025 12:30 PM,techsummary_1975219.pdf (361.92 KB),Finance,all Admitted,Harshendra Gupta,30-Oct-2025 07:19 PM,,BOQ Comparative Chart,H.GUPTA,Internal,,Harshendra Gupta,30-Oct-2025 07:33 PM,finsummary_1975219.pdf (508.82 KB),Technical,2 Bidder Technically Qualified 2 Bidder Not Technically Qualified,Harshendra Gupta,15-Oct-2025 03:22 PM,technical_1975219.pdf,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1079765_2,02/E.E./2025-26,Lot-02,1.0,5593052.0,M/S BHARAT TIWARI,INR,"2,250,500",1,5593052,M/S BHARAT TIWARI,09-Oct-2025 06:38 AM,Accepted-AOC,L1,30-Oct-2025 07:43 PM,30-Oct-2025,"INR 2,330,000",30.0,Harshendra Gupta,30-Oct-2025 07:43 PM,2.pdf (509.00 KB),AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5596724,M/s Rajendra Prasad Srivastava,09-Oct-2025 04:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Oct-2025 03:22 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5596247,NKS Construction,09-Oct-2025 01:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Oct-2025 03:22 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5595826,UNIQUE INFRA CONSTRUCTION PVT LTD,09-Oct-2025 12:33 PM,Rejected-AOC,l2,30-Oct-2025 07:43 PM,,,,,,,AOC
