Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,APPENDIX A TO E,06-May-2025 06:55 PM,19-May-2025 11:00 AM,06-May-2025 06:55 PM,15-May-2025 05:00 PM,NA ,NA ,06-May-2025 06:55 PM,15-May-2025 05:00 PM,20-Jun-2025 01:00 PM,980.0,Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1058 DT-01/05/2025,2025_YEIDA_1036426_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"77,900",No,fixed,,Nil,Nil,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"Providing and fixing of water supply in affordables houses sector 22 D ,(Group H I),YEA. WC-02","Providing and fixing of water supply in affordables houses sector 22 D ,(Group H I),YEA. WC-02",Please refer Tender documents. ,NA ,"38,84,768",Civil Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,AOC,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,09-Jul-2025 02:55 PM,finsummary_1878127.pdf (43.64 KB),Technical,UNDER EVALUATION,BHARAM PAL SINGH,20-Jun-2025 10:52 AM,,Committee,Internal,Committee,BHARAM PAL SINGH,20-Jun-2025 11:32 AM,20-Jun-2025 01:00 PM,techsummary_1878127.pdf (483.74 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,09-Jul-2025 12:19 PM,,BOQ Comparative Chart,1,5191883,ADEEPARK ENGINEERING,15-May-2025 04:34 PM,Rejected-Technical,DISQUALIFIED,20-Jun-2025 11:32 AM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1036426_5,YEA/GM(PROJECT)/2025/1058 DT-01/05/2025,"Providing and fixing of water supply in affordables houses sector 22 D ,(Group H I),YEA. WC-02",1.0,5189909.0,Vardhman Infrastructure,INR,"2,480,035.89",09-Jul-2025,"INR 2,480,035.89",90.0,VIKAS KUMAR,05-Aug-2025 12:33 PM,AOCVER.pdf (640.00 KB),AOC,AOC
,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5191828,ARVIK ENTERPRISES,15-May-2025 04:19 PM,Rejected-Technical,DISQUALIFIED,20-Jun-2025 11:32 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5191736,GUPTA ENGINEERS AND CONTRACTOR,15-May-2025 03:28 PM,Rejected-Finance,L4,09-Jul-2025 02:55 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5182162,KP CONST. CO.,14-May-2025 10:14 PM,Rejected-Finance,L3,09-Jul-2025 02:55 PM,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5191852,M/S GRIP CONSTRUCTIONS,15-May-2025 04:29 PM,Rejected-Technical,DISQUALIFIED,20-Jun-2025 11:32 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5189621,tryambak construction,14-May-2025 07:55 PM,Rejected-Finance,L2,09-Jul-2025 02:55 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5189909,Vardhman Infrastructure,14-May-2025 10:51 PM,Accepted-AOC,L1,05-Aug-2025 12:34 PM,,,,,,,,,,,,,,,,,AOC
