Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,24/FZD/MP/25-26,2025_SCIDC_1052566_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Superintending Engineer,"H.N. 19 Ramji Dham Colony, INfront of Deviram Sweet, Rishipuram Road, Sikandra Agra",1.0,Fee/PreQual/Technical,.pdf,NIT,"74,500",Yes,fixed,,UPSCIDCO,FIROZABAD,27-Jun-2025 06:55 PM,11-Jul-2025 01:00 PM,27-Jun-2025 06:55 PM,11-Jul-2025 12:00 PM,NA ,NA ,27-Jun-2025 06:55 PM,11-Jul-2025 12:00 PM,17-Jul-2025 12:40 PM,"Construction of Interlocking Road From Alahadadpur link road toword Mini Stadium at Vill.-Alahadadpur, Firozabad","Construction of Interlocking Road From Alahadadpur link road toword Mini Stadium at Vill.-Alahadadpur, Firozabad",Please refer Tender documents. ,NA ,"37,26,403",Civil Works,NA ,Tender,180.0,180.0,FIROZABAD,283203.0,NA ,NA ,NA ,128 Puschimpuri Pani Tanki Ke Pass Shikandra Agra,No ,No,"1,652",UPSCIDCO,FIROZABADS,Yes,1.0,RTGS - RTGS Payment,AOC,Finance,Rate of M/S RAJKAMAL CONSTRUCTIONS is accepted.,Gajendra Pal Singh,19-Jul-2025 01:24 PM,finance_1913917.pdf,BOQ Comparative Chart,SUPERINTENDING ENGINEER,Internal,,Gajendra Pal Singh,17-Jul-2025 12:37 PM,17-Jul-2025 12:40 PM,techsummary_1913917.pdf (628.43 KB),Technical,Two of three bidders have technically qualified.,Gajendra Pal Singh,17-Jul-2025 12:16 PM,technical_1913917.pdf,Shri G. P. Singh,Internal,,Rakesh Sikarwar,13-Aug-2025 03:47 PM,finsummary_1913917.pdf (594.04 KB),13-Aug-2025,"INR 3,726,031.19",180.0,Rakesh Sikarwar,13-Aug-2025 03:48 PM,24ffzd.pdf (594.00 KB),1,5313458,M/S RAJKAMAL CONSTRUCTIONS,11-Jul-2025 09:47 AM,Accepted-AOC,OK,13-Aug-2025 03:49 PM,1.0,5313458.0,M/S RAJKAMAL CONSTRUCTIONS,INR,"3,726,031.19",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1052566_1,24/FZD/MP/25-26,"Construction of Interlocking Road From Alahadadpur link road toword Mini Stadium at Vill.-Alahadadpur, Firozabad",AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5313020,M/S SHREE BANKEY BIHARI CONSTRUCTION,11-Jul-2025 11:38 AM,Rejected-AOC,OK,13-Aug-2025 03:49 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5313609,SURBHOG ENTERPRISES PRIVATE LIMITED,11-Jul-2025 10:40 AM,Rejected-Technical,NOT QUALIFIED,17-Jul-2025 12:37 PM,,,,,,,,,,AOC
