Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"Construction work of 110.00 m CC tiles road and drain from Roop Singh Rana house to Harnam Singh Rana house in village Khetapur, district Sambhal. (NIDHI WORK)","Construction work of 110.00 m CC tiles road and drain from Roop Singh Rana house to Harnam Singh Rana house in village Khetapur, district Sambhal. (NIDHI WORK)",Please refer Tender documents. ,NA ,"7,06,000",Civil Works - Others,NA ,Tender,60.0,60.0,SAMBHAL,244412.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,"E.E., UPSCIDCO, SAMBHAL","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",08-Jul-2025 06:00 PM,15-Jul-2025 11:00 AM,08-Jul-2025 06:00 PM,15-Jul-2025 10:00 AM,NA ,NA ,08-Jul-2025 06:00 PM,15-Jul-2025 10:00 AM,21-Jul-2025 12:00 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,021/E.E./SBL/NIDHI/2025-26 Dt- 08-07-2025,2025_SCIDC_1055389_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"15,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,1,FDR - Fixed Deposit,AOC,Technical,TECHNICAL REPORT,Avdhesh kumar Verma,21-Jul-2025 10:40 AM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,22-Jul-2025 02:45 PM,finsummary_1920214.pdf (1934.31 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,22-Jul-2025 02:26 PM,finance_1920214.pdf,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,21-Jul-2025 11:00 AM,21-Jul-2025 12:00 PM,techsummary_1920214.pdf (365.94 KB),29-Jul-2025,"INR 706,000",60.0,Avdhesh kumar Verma,12-Aug-2025 03:32 PM,21NIT21WOSBL.pdf (380.00 KB),LOI OF WORK,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1055389_1,021/E.E./SBL/NIDHI/2025-26 Dt- 08-07-2025,"Construction work of 110.00 m CC tiles road and drain from Roop Singh Rana house to Harnam Singh Rana house in village Khetapur, district Sambhal. (NIDHI WORK)",1.0,5320462.0,NAR SINGH KUMAR CONTRACTOR,INR,"705,788.2",1,5325328,M/S A TO Z ASSOCIATES,14-Jul-2025 10:56 AM,Rejected-Finance,AMOUNT IS HIGH,22-Jul-2025 02:45 PM,AOC
2,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5320462,NAR SINGH KUMAR CONTRACTOR,13-Jul-2025 11:12 AM,Accepted-AOC,AMOUNT IS LOWEST,12-Aug-2025 03:32 PM,AOC
