Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
07-Aug-2025,INR 100,90.0,Virendra Kumar Pandey,07-Aug-2025 02:26 PM,3.pdf (61.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2025_REDUP_1057174_3,410 /RED Tender KUSHINAGAR,GRAM SABHA BADHARA ME AANGANVARI KENDR SE HIRA KE GHAR TAK RCC ROAD KA NIRMAN KARY,1.0,5347841.0,New Khushi Solar Shop,INR,100.0,1,5348278,M/S A P S CONSTRUCTION COMPANY,17-Jul-2025 12:08 PM,Rejected-Finance,L2,07-Aug-2025 12:43 PM,Finance,Bid Opening Summary,Virendra Kumar Pandey,23-Jul-2025 03:42 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,23-Jul-2025 11:35 AM,23-Jul-2025 01:00 PM,techsummary_1924185.pdf (134.55 KB),Technical,Bid opening Summary,Virendra Kumar Pandey,23-Jul-2025 10:05 AM,,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,07-Aug-2025 12:43 PM,finsummary_1924185.pdf (60.69 KB),AOC,"24,000",No,fixed,,Nil,Nil,EE RED KUSHINAGAR,EE RED KUSHINAGAR,GRAM SABHA BADHARA ME AANGANVARI KENDR SE HIRA KE GHAR TAK RCC ROAD KA NIRMAN KARY,GRAM SABHA BADHARA ME AANGANVARI KENDR SE HIRA KE GHAR TAK RCC ROAD KA NIRMAN KARY,Please refer Tender documents. ,NA ,"12,09,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,752.0,Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,410 /RED Tender KUSHINAGAR,2025_REDUP_1057174_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,16-Jul-2025 09:00 AM,21-Jul-2025 03:00 PM,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,NA ,NA ,16-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,23-Jul-2025 01:00 PM,AOC
,,,,,,,,,,,,,,,2,5347841,New Khushi Solar Shop,17-Jul-2025 11:29 AM,Accepted-AOC,L1,07-Aug-2025 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,AOC
