S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,"Restoration of Canal Section of Badagaon Main Canal, Jhansi Reach 2.50 km to 3.00 km and 3.60 km to 4.25 km LOT-1","Restoration of Canal Section of Badagaon Main Canal, Jhansi Reach 2.50 km to 3.00 km and 3.60 km to 4.25 km LOT-1",Please refer Tender documents. ,NA ,"11,55,000",Civil Works,NA ,Tender,90.0,120.0,Badagaon Jhansi,284121.0,NA ,NA ,NA ,Jhansi,No ,No,"24,000",No,fixed,,Nil,Nil,767.0,Nil,Nil,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,05/LCDJ/EE/2025-26,2025_UPIDM_1046068_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER LIFT CANAL DIVISION JHANSI,OFFICE OF THE EXECUTIVE ENGINEER LIFT CANAL DIVISION GWALIOR ROAD CIVIL LINES JHANSI,05-Jun-2025 02:00 PM,11-Jun-2025 01:00 PM,05-Jun-2025 02:00 PM,11-Jun-2025 12:00 PM,NA ,NA ,05-Jun-2025 02:00 PM,11-Jun-2025 12:00 PM,16-Jun-2025 12:00 PM,AOC,Technical,tecknical bid open,Manoj Kumar Gupta,12-Jun-2025 03:09 PM,,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE MANOJ KUMAR GUPTA,JAGANNATH PRASAD,18-Aug-2025 07:01 PM,finsummary_1899392.pdf (643.38 KB),Finance,Financial Evaluation Complete,JAGANNATH PRASAD,18-Aug-2025 06:56 PM,finance_1899392.pdf,BOQ Comparative Chart,EE Jagannath Prasad,Internal,EE Jagannath Prasad EE Vikram Singh AE Manoj Kumar Gupta,JAGANNATH PRASAD,14-Jun-2025 02:18 PM,16-Jun-2025 12:00 PM,techsummary_1899392.pdf (759.07 KB),18-Aug-2025,"INR 1,155,000",120.0,JAGANNATH PRASAD,18-Aug-2025 07:06 PM,AOC_05_01.pdf (631.00 KB),AOC,1,5244416,M/S KAVYA CONSTRUCTION,11-Jun-2025 11:19 AM,Rejected-Finance,Not Being Lowest,18-Aug-2025 07:01 PM,1.0,5245102.0,Shrishti Construction,INR,"725,036",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1046068_1,05/LCDJ/EE/2025-26,"Restoration of Canal Section of Badagaon Main Canal, Jhansi Reach 2.50 km to 3.00 km and 3.60 km to 4.25 km LOT-1",AOC
2,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5245007,M/S RAJARAM,11-Jun-2025 08:49 AM,Rejected-Finance,Not Being Lowest,18-Aug-2025 07:01 PM,,,,,,,,,,AOC
3,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5244213,M/s Sanika Construction,10-Jun-2025 04:25 PM,Rejected-Finance,Not Being Lowest,18-Aug-2025 07:01 PM,,,,,,,,,,AOC
4,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5244597,RAM PRATAP DIXIT,11-Jun-2025 10:33 AM,Rejected-Finance,Not Being Lowest,18-Aug-2025 07:01 PM,,,,,,,,,,AOC
5,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5245102,Shrishti Construction,11-Jun-2025 10:54 AM,Accepted-AOC,AOC,18-Aug-2025 07:06 PM,,,,,,,,,,AOC
