Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",01/AEIV/2025-26,2025_UPIDC_1046287_42,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Maintenance and Repairing of Type-IV Residence No. 9/3 at New Parikalp Vihar Colony, Telibagh, Lucknow. (Lot No.16)","Maintenance and Repairing of Type-IV Residence No. 9/3 at New Parikalp Vihar Colony, Telibagh, Lucknow. (Lot No.16)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,New Parikalp vihar colony,226002.0,NA ,NA ,NA ,canal colony,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,590.0,Nil,Nil,No,26-Jun-2025 12:00 PM,02-Jul-2025 03:00 PM,26-Jun-2025 12:00 PM,02-Jul-2025 12:00 PM,26-Jun-2025 12:00 PM ,02-Jul-2025 12:00 PM ,26-Jun-2025 12:00 PM,02-Jul-2025 12:00 PM,07-Jul-2025 01:00 PM,"3,320",No,fixed,,Nil,Nil,1.0,SBI Bank,Assistant Engineer IV,LDSC LKO,AOC,1,5283448,M/S ASHOKA ENTERPRISES,01-Jul-2025 03:46 PM,Rejected-AOC,L2,21-Oct-2025 03:59 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1046287_42,01/AEIV/2025-26,"Maintenance and Repairing of Type-IV Residence No. 9/3 at New Parikalp Vihar Colony, Telibagh, Lucknow. (Lot No.16)",1.0,5283392.0,M/S M. K. CONSTRUCTION,INR,"154,095.12",Finance,boq Summary,deena nath maurya,07-Jul-2025 04:12 PM,finance_1912457.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,11-Jul-2025 10:41 AM,finsummary_1912457.pdf (914.43 KB),D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,05-Jul-2025 04:16 PM,07-Jul-2025 01:00 PM,techsummary_1912457.pdf (914.43 KB),Technical,Summary,deena nath maurya,05-Jul-2025 03:19 PM,technical_1912457.pdf,14-Jul-2025,"INR 154,095.12",30.0,deena nath maurya,21-Oct-2025 03:59 PM,agno30.pdf (465.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5283392,M/S M. K. CONSTRUCTION,01-Jul-2025 03:30 PM,Accepted-AOC,L1,21-Oct-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5285567,M/S R.K ENTERPRISES,02-Jul-2025 11:49 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Jul-2025 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
