Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,050/EE/JNP-PVN/2025-26 DT-01-07-2025,2025_SCIDC_1053357_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,24-Jul-2025 04:00 PM,31-Jul-2025 12:00 PM,24-Jul-2025 04:00 PM,31-Jul-2025 11:00 AM,NA ,NA ,24-Jul-2025 04:00 PM,31-Jul-2025 11:00 AM,14-Aug-2025 05:30 PM,"1,652",Ex engineer upscidc ltd,JAUNPUR,No,"42,000",No,fixed,,Ex engineer upscidc ltd,JAUNPUR,Ex enginner UPSCIDC LTD JAUNPUR,VAN VIHAR ROAD BHUPATPATTI JAUNPUR,UNDER DRDA MLA KERAKAT DOBHI DHANRAKHA ME SHITALDAN RAJBHAR RES TO YADAV BASTI TAK CC ROAD,UNDER DRDA MLA KERAKAT DOBHI DHANRAKHA ME SHITALDAN RAJBHAR RES TO YADAV BASTI TAK CC ROAD,Please refer Tender documents. ,NA ,"20,45,667",Civil Works - Roads,C.C ROAD ,Tender,90.0,90.0,DOBHI,222001.0,NA ,NA ,NA ,Ex enginner office UPSCIDC LTD JAUNPUR,No ,No,AOC,Technical,two bid found for the tender,Yogendra Nath Kushwaha,14-Aug-2025 05:20 PM,technical_1929596.pdf,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK ASHAD JE,Yogendra Nath Kushwaha,19-Aug-2025 01:19 PM,finsummary_1929596.pdf (572.04 KB),Finance,TWO BID FOUND FOR THE TENDER CK AND COMPANY FOUND L1,Yogendra Nath Kushwaha,19-Aug-2025 01:17 PM,finance_1929596.pdf,BOQ Comparative Chart,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK ASHAD JE,Yogendra Nath Kushwaha,14-Aug-2025 05:22 PM,14-Aug-2025 05:30 PM,techsummary_1929596.pdf (395.21 KB),19-Aug-2025,"INR 2,045,667",90.0,Yogendra Nath Kushwaha,19-Aug-2025 01:28 PM,AOC.pdf (668.00 KB),CK AND COMPANY FOUND L1,1.0,5391648.0,BHAGWATI CHAND,31-Jul-2025 07:58 AM,Rejected-Finance,L2,19-Aug-2025 01:19 PM,1.0,5391590.0,C .K. & COMPANY,INR,"2,043,621",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,2025_SCIDC_1053357_2,050/EE/JNP-PVN/2025-26 DT-01-07-2025,UNDER DRDA MLA KERAKAT DOBHI DHANRAKHA ME SHITALDAN RAJBHAR RES TO YADAV BASTI TAK CC ROAD,AOC
,,,,,,,,,,,,,,2,FDR - Fixed Deposit,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5391590.0,C .K. & COMPANY,31-Jul-2025 06:58 AM,Accepted-AOC,L1,19-Aug-2025 01:28 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
