Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,331/RED/TENDER/UNNAO/25-26 Dt-22-05-2025,2025_REDUP_1052071_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er Narendra Chaudhary,Vikash Bhawan Unnao,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,"1,000",Nil,Nil,No,"22,900",Yes,fixed,,Nil,Nil,Gram Sabha Baruwaghat me Nanhelal ke Ghar Se Raghuveer ke Darwaje tak Interlocking Road evm Nali ka Nirman karye.,Gram Sabha Baruwaghat me Nanhelal ke Ghar Se Raghuveer ke Darwaje tak Interlocking Road evm Nali ka Nirman karye.,Plz Refer Doc ,NA ,"11,47,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,26-Jun-2025 03:45 PM,02-Jul-2025 12:30 PM,26-Jun-2025 03:45 PM,02-Jul-2025 12:00 PM,NA ,NA ,26-Jun-2025 03:45 PM,02-Jul-2025 12:00 PM,10-Jul-2025 01:15 PM,AOC,1,5282746,M/S DIPTI KATIYAR,30-Jun-2025 09:37 PM,Accepted-AOC,l1,08-Aug-2025 04:15 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2025_REDUP_1052071_13,331/RED/TENDER/UNNAO/25-26 Dt-22-05-2025,Gram Sabha Baruwaghat me Nanhelal ke Ghar Se Raghuveer ke Darwaje tak Interlocking Road evm Nali ka Nirman karye.,Finance,Summary,Narendra chaudhary,08-Aug-2025 04:06 PM,finance_1913062.pdf,BOQ Comparative Chart,Er Narendra Chaudhary,Internal,,Narendra chaudhary,08-Aug-2025 04:12 PM,finsummary_1913062.pdf (839.29 KB),1.0,5282746.0,M/S DIPTI KATIYAR,INR,"1,147,091.02",Er Narendra Chaudhary,Internal,,Narendra chaudhary,10-Jul-2025 01:10 PM,10-Jul-2025 01:15 PM,techsummary_1913062.pdf (581.50 KB),Technical,Summary,Narendra chaudhary,10-Jul-2025 01:08 PM,technical_1913062.pdf,08-Aug-2025,"INR 1,147,091.02",90.0,Narendra chaudhary,08-Aug-2025 04:15 PM,Baruwaghat001.pdf (839.00 KB),l1,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5284915,Rishi Prakash jaiswal,01-Jul-2025 10:52 PM,Rejected-AOC,l2,08-Aug-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
