Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
15-Oct-2025,"INR 26,161,892",180.0,CHANDRABHAN YADAV,17-Oct-2025 03:48 PM,03.pdf (331.00 KB),AOC,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,2025_UPIDC_1074200_3,02/SE/SRE/2025-26,Lot-03,1.0,5548801.0,VEERESH KUMAR,INR,"26,161,892",1,5551684,AKANKSHA ASSOCIATES,22-Sep-2025 03:23 PM,Rejected-AOC,L2,17-Oct-2025 03:48 PM,Finance,SUMMARY UPLOAD IN FINANCIAL EVALUATION,CHANDRABHAN YADAV,15-Oct-2025 04:32 PM,,BOQ Comparative Chart,"C.B.YADAV, SE",Internal,"B.P.SINGH, SE, VIVEK VARSHNEY, EE",CHANDRABHAN YADAV,29-Sep-2025 07:24 PM,03-Oct-2025 02:00 PM,techsummary_1961519.pdf (683.78 KB),Technical,Upload Summary in Technical Evaluation,CHANDRABHAN YADAV,29-Sep-2025 06:58 PM,,"C.B.YADAV,SE",Internal,"B.P.SINGH, SE, PRANEEN JOSHIA, EE",CHANDRABHAN YADAV,15-Oct-2025 04:51 PM,finsummary_1961519.pdf (288.44 KB),AOC,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,02/SE/SRE/2025-26,2025_UPIDC_1074200_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"2,714",Nil,Nil,No,1.0,SBI Bank,Lot-03,Restoration work for Internal Section between k.m. 11.000 to k.m. 45.600 of Eastern yamuna Canal in distt. Saharanpur,Please refer Tender documents. ,NA ,"5,15,00,000",Civil Works,NA ,Tender,90.0,180.0,SAHARANPUR,247001.0,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR ,OFFICE OF THE SE IWC DEHRADUN ROAD SAHARANPUR ,20-Sep-2025 03:00 PM ,OFFICE OF THE SE IWC SAHARANPUR,No ,No,16-Sep-2025 01:00 PM,23-Sep-2025 10:30 AM,16-Sep-2025 01:00 PM,22-Sep-2025 05:00 PM,NA ,NA ,16-Sep-2025 01:00 PM,22-Sep-2025 05:00 PM,03-Oct-2025 02:00 PM,1.0,Other,Other,,SE IWC SAHARANPUR,OFFICE OF THE SE IWC SAHARANPUR,"10,30,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,5548815,ARVIND KUMAR SINGH,22-Sep-2025 02:59 PM,Rejected-AOC,L3,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5546416,C P Systems Pvt Ltd,20-Sep-2025 05:22 PM,Rejected-Technical,DISQUALIFIED,29-Sep-2025 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5546744,Durga Engineers and Earth Movers,21-Sep-2025 08:52 PM,Rejected-AOC,L9,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5549153,GSB DEVELOPERS PRIVATE LIMITED,21-Sep-2025 01:35 PM,Rejected-AOC,L7,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5550195,M/S CHAUDHARY ENTERPRISES,22-Sep-2025 01:37 PM,Rejected-AOC,L4,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5552091,M/S PRABHAT TRADERS,22-Sep-2025 01:42 PM,Rejected-AOC,L5,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5542060,M/S SATT SAHIB CONSTRUCTION CO,21-Sep-2025 10:34 AM,Rejected-AOC,L6,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5545355,M/S SHANTI ASSOCIATES,21-Sep-2025 04:07 PM,Rejected-Technical,DISQUALIFIED,29-Sep-2025 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5551745,S F INFRA PROJECTS,22-Sep-2025 03:02 PM,Rejected-Technical,DISQUALIFIED,29-Sep-2025 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,5539536,SHRI SAI CONSTRUCTION,22-Sep-2025 12:48 PM,Rejected-AOC,L8,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,5548801,VEERESH KUMAR,20-Sep-2025 09:40 PM,Accepted-AOC,L1,17-Oct-2025 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
