S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Corrigendum-2,Date,,"1,39,15,000",No,fixed,,Executive Engineer CD UPJN (Urban) Ayodhya,Ayodhya,"23,600",Executive Engineer CD UPJN (Urban) Ayodhya,Ayodhya,No,17-Mar-2025 06:40 PM,23-Apr-2025 04:30 PM,17-Mar-2025 06:45 PM,23-Apr-2025 04:00 PM,17-Mar-2025 06:50 PM ,31-Mar-2025 03:00 PM ,17-Mar-2025 06:55 PM,23-Apr-2025 04:00 PM,19-Jun-2025 04:30 PM,Superintending Engineer,"Office of The Superintending Engineer, Construction Circle, U P Jal Nigam (Urban), Ayodhya",1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",527/W-86/01,2025_UPJNM_1018431_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Package 2 of Nagar Nigam Ayodhya Sewerage Scheme District-1 Part-II and District-1 Part-I Zone-1,Surveying Soil investigation design and Supply of all materials labour T and P etc. complete required for completion of following works of Package 2 of Nagar Nigam Ayodhya Sewerage Scheme District 1 Part II and District 1 Part I Zone 1 and 2,As per attached bid document ,NA ,"1,39,15,09,608",Civil Works,Civil work with E and M work ,Tender,120.0,630.0,Nagar Nigam Ayodhya,224001.0,Civil Line Ayodhya ,"Office of The Superintending Engineer, Construction Circle, U P Jal Nigam (Urban), Ayodhya ",21-Mar-2025 03:00 PM ,Civil Line Ayodhya,No ,No,AOC,MD UPJN,Internal,JMDCENAGARFD,Santosh Kumar Singh,17-Jun-2025 05:47 PM,19-Jun-2025 04:30 PM,techsummary_1836157.pdf (330.02 KB),Finance,Financial bid opened on dt. 19.06.2025. M/s EMS Limited found L1 bidder.,Santosh Kumar Singh,20-Jun-2025 06:31 PM,,BOQ Comparative Chart,CE NAGAR,Internal,CEGKPCELKOSEEELKOSEAYODHYA,Santosh Kumar Singh,22-Jul-2025 06:59 PM,finsummary_1836157.pdf (294.83 KB),Technical,10 bids found and admitted,Santosh Kumar Singh,24-Apr-2025 04:13 PM,,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",2025_UPJNM_1018431_1,527/W-86/01,Package 2 of Nagar Nigam Ayodhya Sewerage Scheme District-1 Part-II and District-1 Part-I Zone-1,1.0,5140576.0,EMS LIMITED,INR,"987,971,821.96",1,5120418,AYYAPPA INFRA PROJECTS PRIVATE LIMITED,23-Apr-2025 12:15 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:59 PM,05-Aug-2025,"INR 987,971,821.96",637.0,Santosh Kumar Singh,07-Aug-2025 11:41 AM,CBltrEMS.pdf (342.00 KB),"Contact award to Ist lowest bidder M/s EMS Ltd., 701 DLF Tower A, Jasola, New Delhi 110025 with 29.00 percent below. C.B. No. 02/SE/2025-16 dt. 05.08.2025",AOC
2.0,Corrigendum 1,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5140830,Bhugan Infracon Pvt Lt,23-Apr-2025 03:30 PM,Rejected-Technical,Technically Disqualified,17-Jun-2025 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5140080,Dineshchandra R Agrawal Infracon Pvt. Ltd.,23-Apr-2025 01:25 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:59 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5140576,EMS LIMITED,23-Apr-2025 03:36 PM,Accepted-AOC,Awarded,07-Aug-2025 11:42 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5115493,Envirad Projects Pvt. Ltd.,23-Apr-2025 12:05 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:59 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5124148,ENVIRO INFRA ENGINEERS LIMITED,23-Apr-2025 01:42 PM,Rejected-Technical,Technically Disqualified,17-Jun-2025 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5140556,LC Infra Projects Pvt Ltd,23-Apr-2025 03:32 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:59 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5123718,P C SNEHAL CONSTRUCTION PRIVATE LIMITED,23-Apr-2025 03:00 PM,Rejected-Technical,Technically Disqualified,17-Jun-2025 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5115404,PULKIT PROJECTS PVT. LTD.,23-Apr-2025 03:46 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:59 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5137970,TECHNOCRAFT VENTURES LIMITED,23-Apr-2025 03:08 PM,Rejected-Technical,Technically Disqualified,17-Jun-2025 05:47 PM,,,,,,,,AOC
