Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2025_REDUP_1056233_1,314_03/MLAY/KHERI/2025-26,"Interlocking construction work from house of Suresh Singh Tomar to house of Mohit in Gram Panchayat Parsehra Buzurg, Length 175 Mtr. Block Behjam",1.0,5333935.0,RAKESH KUMAR VERMA,INR,"1,077,346",1,5334440,M/s BRIJENDRA KUMAR VERMA,15-Jul-2025 07:30 PM,Rejected-Finance,2nd Lowest Bidder,31-Jul-2025 04:06 PM,01-Aug-2025,"INR 1,077,561.52",60.0,Hemant Saxena,23-Aug-2025 12:15 PM,AOC_314_03.pdf (419.00 KB),Hemant Saxena,Internal,,Hemant Saxena,31-Jul-2025 04:06 PM,finsummary_1921932.pdf (286.43 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,18-Jul-2025 05:13 PM,technical_1921932.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,22-Jul-2025 05:52 PM,25-Jul-2025 12:00 PM,techsummary_1921932.pdf (263.11 KB),Finance,Recommended for Financial Evaluation,Hemant Saxena,26-Jul-2025 03:40 PM,finance_1921932.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,Technical PDF,11-Jul-2025 12:00 PM,18-Jul-2025 12:30 PM,11-Jul-2025 12:00 PM,18-Jul-2025 12:00 PM,NA ,NA ,11-Jul-2025 12:00 PM,18-Jul-2025 12:00 PM,25-Jul-2025 12:00 PM,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,314_03/MLAY/KHERI/2025-26,2025_REDUP_1056233_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,856.0,Nil,Nil,No,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,"22,000",No,fixed,,Nil,Nil,"Interlocking construction work from house of Suresh Singh Tomar to house of Mohit in Gram Panchayat Parsehra Buzurg, Length 175 Mtr. Block Behjam","Interlocking construction work from house of Suresh Singh Tomar to house of Mohit in Gram Panchayat Parsehra Buzurg, Length 175 Mtr. Block Behjam",Please Refer Tender Document ,NA ,"10,77,600",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,AOC
,,,,,,,,,2,5333935,RAKESH KUMAR VERMA,15-Jul-2025 06:12 PM,Accepted-AOC,Accept,23-Aug-2025 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
