S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5476345.0,M/S YUNUS ALI CONTRACTOR,INR,"8,536,792.76",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1064255_1,20250824137.0,Repair of UPSWC Godowns at Bulandshahar,1,5471186,09AEEFS5290J1ZJ,23-Aug-2025 08:59 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,25-Sep-2025,"INR 8,536,792.76",330.0,Satakshi Nandan,29-Oct-2025 02:16 PM,buland.pdf (640.00 KB),Work Award,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Satakshi Nandan,28-Aug-2025 02:50 PM,29-Aug-2025 02:00 PM,techsummary_1939437.pdf (468.66 KB),Finance,Financial Bid Result,Madan Pal Singh,08-Sep-2025 12:08 PM,finance_1939437.pdf,BOQ Comparative Chart,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Senior Account Officer, Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,08-Sep-2025 12:58 PM,finsummary_1939437.pdf (467.39 KB),Technical,Technical Bid Result,Satakshi Nandan,28-Aug-2025 12:17 PM,technical_1939437.pdf,AOC,1.0,RTGS - RTGS Payment,Repair of UPSWC Godowns at Bulandshahar,Repair of UPSWC Godowns at Bulandshahar,Only registered contractor with UPSWC can apply ,NA ,"1,00,43,286",Civil Works,Maintenance /Construction Work ,Tender,90.0,330.0,Bulandshahar,203001.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,14-Aug-2025 02:00 PM ,Head Office UPSWC,No ,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,UP STATE WAREHOUSING CORPORATION,20250824137.0,2025_UPSWC_1064255_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,180",U.P. State warehousing corporation,Lucknow,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,08-Aug-2025 06:00 PM,25-Aug-2025 10:00 AM,08-Aug-2025 06:00 PM,23-Aug-2025 06:00 PM,NA ,NA ,08-Aug-2025 06:00 PM,23-Aug-2025 06:00 PM,29-Aug-2025 02:00 PM,"2,00,900",No,fixed,,U.P. State warehousing corporation,Lucknow,AOC
,,,,,,,,,2,5466185,Ankur Constructions,22-Aug-2025 05:45 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5477711,A.T.CONS.,23-Aug-2025 03:33 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5478071,AVADH KAARYA SOLUTIONS LLP,23-Aug-2025 04:26 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5468409,BIJNOR CONSTRUCTION and SUPPLIERS,21-Aug-2025 11:54 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5462694,JAFARGANJ CONSTRUCTION,19-Aug-2025 10:34 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5477852,J M D ENTERPRISES,23-Aug-2025 03:42 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5475737,MANOHAR LAL AND COMPANY,23-Aug-2025 07:33 AM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5474997,M/S A.N CONSTRUCTIONS,22-Aug-2025 10:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Aug-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5478323,M/S BHAGWATI ASSOCIATES,23-Aug-2025 04:57 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,5435211,M/S MAS CONSTRUCTION,15-Aug-2025 10:29 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,5466558,M/S RAJESH KUMAR GUPTA,20-Aug-2025 09:34 PM,Rejected-AOC,Not Selected From lottery system,29-Oct-2025 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
