Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||BD, varanasi",02/EE/BDV/2025-26,2025_UPIDC_1044511_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,31-May-2025 10:00 AM,09-Jun-2025 03:00 PM,31-May-2025 10:00 AM,09-Jun-2025 02:00 PM,NA ,NA ,31-May-2025 10:00 AM,09-Jun-2025 02:00 PM,16-Jun-2025 06:05 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,1.0,SBI Bank,266.0,Nil,Nil,No,"10,000",Yes,fixed,,Nil,Nil,Executive Engineer,"Office Of Executive Engineer Bandhi Division, Varunapuram Sinchai Colony, Sigra, Varanasi-221010",1.0,Tender opening date extend,Date,,Correcting Internal Section of Jawariabad-II Drain from Km. 0.000 to Km. 6.150.,Correcting Internal Section of Jawariabad-II Drain from Km. 0.000 to Km. 6.150.,Please refer Tender documents. ,NA ,"4,85,408",Civil Works,NA ,Tender,90.0,15.0,Chandauli,232104.0,NA ,NA ,NA ,"Engineer Bandhi Division, Varanasi",No ,No,AOC,Finance,Financial Comparative,Mahendra Kumar,02-Aug-2025 02:31 PM,finance_1895616.pdf,BOQ Comparative Chart,Mahendra Kumar,Internal,"Mahendra Kumar, Ravi Shankar Mishra, Manoj Kumar Srivastava",Mahendra Kumar,16-Jun-2025 06:01 PM,16-Jun-2025 06:05 PM,techsummary_1895616.pdf (291.17 KB),Technical,Technical Summary,Mahendra Kumar,16-Jun-2025 05:55 PM,technical_1895616.pdf,Mahendra Kumar,Internal,"Ravi Shankar Mishra, Manoj Kumar Srivastava",Mahendra Kumar,02-Aug-2025 02:34 PM,finsummary_1895616.pdf (356.96 KB),02-Aug-2025,"INR 481,444.9",15.0,Mahendra Kumar,02-Aug-2025 02:39 PM,JewariyabadAOC.pdf (420.00 KB),AOC,1.0,5232180.0,M/S Sisodiya Constructions,INR,"481,444.9","U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||BD, varanasi",2025_UPIDC_1044511_1,02/EE/BDV/2025-26,Correcting Internal Section of Jawariabad-II Drain from Km. 0.000 to Km. 6.150.,1,5233491,M/S DILAWAL SINGH,05-Jun-2025 12:39 PM,Rejected-Finance,L2,02-Aug-2025 02:34 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5239325,M/S JAITARA DEVELOPER,06-Jun-2025 10:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jun-2025 05:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5232180,M/S Sisodiya Constructions,04-Jun-2025 05:39 PM,Accepted-AOC,L1,02-Aug-2025 02:39 PM,AOC
