Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1038066_3,03/EE/NIDHI/BJR/E-TENDER/24-25 Dt.09-05-2025,"Construction work of WATER COOLER near Madhur Memo Public School, Seohara, district-Bijnor. (NIDHI WORK)",1.0,5224164.0,M/S A TO Z ASSOCIATES,INR,"349,981.97",1,5224164,M/S A TO Z ASSOCIATES,29-May-2025 05:33 PM,Accepted-AOC,AMOUNT IS LOWEST,12-Aug-2025 01:06 PM,06-Jun-2025,"INR 350,087",60.0,Avdhesh kumar Verma,12-Aug-2025 01:06 PM,03NIT19WOBJR.pdf (248.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,05-Jun-2025 11:39 AM,finsummary_1892375.pdf (208.77 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,04-Jun-2025 11:27 AM,technical_1892375.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,04-Jun-2025 11:28 AM,04-Jun-2025 11:30 AM,techsummary_1892375.pdf (179.04 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,05-Jun-2025 11:34 AM,finance_1892375.pdf,BOQ Comparative Chart,AOC,"Construction work of WATER COOLER near Madhur Memo Public School, Seohara, district-Bijnor. (NIDHI WORK)","Construction work of WATER COOLER near Madhur Memo Public School, Seohara, district-Bijnor. (NIDHI WORK)",Please refer Tender documents. ,NA ,"3,50,087",Civil Works - Others,NA ,Tender,60.0,60.0,BIJNOR,246701.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,1,FDR - Fixed Deposit,"8,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,26-May-2025 11:00 AM,31-May-2025 12:00 PM,25-May-2026 12:48 PM,31-May-2025 11:00 AM,NA ,NA ,26-May-2025 11:00 AM,31-May-2025 11:00 AM,04-Jun-2026 12:48 PM,"E.E., UPSCIDCO, BIJNOR","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,03/EE/NIDHI/BJR/E-TENDER/24-25 Dt.09-05-2025,2025_SCIDC_1038066_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,826.0,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,AOC
,,,,,,,,,2,5221050,NAR SINGH KUMAR CONTRACTOR,28-May-2025 01:53 PM,Rejected-Finance,AMOUNT IS HIGH,05-Jun-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,PRICE BID,AOC
