S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,1st class brick work for lining of canal CC workat Adaura pump canal in district Barabanki,"1st class brick lining work, cement plaster etc at Adaura pump canal in district Barabanki including all cost of material, labour and Tool and Plant etc. used complete in all respect as per drawing and BOQ.",Please refer Tender documents. ,NA ,"25,34,700",Civil Works - Canal,NA ,Tender,90.0,NA ,Adaura pump canal in district Barabanki,225304.0,NA ,NA ,NA ,"Office of Executive Engineer, Minor Lift Canal Div",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,08-May-2026 05:03 PM,19-Aug-2025 03:03 PM,08-Aug-2025 04:00 PM,19-Aug-2025 11:00 AM,NA ,NA ,08-Aug-2025 04:00 PM,19-Aug-2025 11:00 AM,21-Aug-2025 04:55 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,"50,700",No,fixed,,Nil,Nil,"Mr. Ashutosh kumar Singh, Executive Engineer","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,14/EE/MLCD/LKO/ETender/2025-26,2025_UPIDM_1064230_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,AOC,Finance,Financial Evalution Sheet,Ashutosh Kumar Singh,28-Aug-2025 08:15 AM,finance_1939389.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,Mr.Gaurav Singh(Executive Engineer)Mr. Prakash Singh(Assistant Engineer),Ashutosh Kumar Singh,21-Aug-2025 04:52 PM,21-Aug-2025 04:55 PM,techsummary_1939389.pdf (2924.43 KB),Technical,Technical Evaluation Sheet,Ashutosh Kumar Singh,21-Aug-2025 04:33 PM,technical_1939389.pdf,Ashutosh Kumar Singh EE,Internal,"Mr. Gaurav Singh, Executive Engineer",Ashutosh Kumar Singh,28-Aug-2025 04:40 PM,finsummary_1939389.pdf (2924.43 KB),23-Sep-2025,"INR 2,534,719",90.0,Ashutosh Kumar Singh,08-Oct-2025 12:35 PM,1603AOC.pdf (3042.00 KB),1.0,5451974.0,M/S Sushila Enterprises,INR,"2,262,504.5",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2025_UPIDM_1064230_1,14/EE/MLCD/LKO/ETender/2025-26,1st class brick work for lining of canal CC workat Adaura pump canal in district Barabanki,1,5453863,MAHI CONSTRUCTION,18-Aug-2025 11:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 04:33 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",,,,,,,,,,2.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5449908,MANJULA MISHRA,18-Aug-2025 06:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 04:33 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,,,,,,,,,,3.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5451825,M/S NARESH KUMAR SONKAR & CO,18-Aug-2025 07:21 PM,Rejected-Finance,Higher Bid,28-Aug-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),,,,,,,,,,4.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5454962,M/S RAJARAM,19-Aug-2025 01:53 AM,Rejected-Finance,Higher Bid,28-Aug-2025 04:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),,,,,,,,,,5.0,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5451974,M/S Sushila Enterprises,19-Aug-2025 01:03 AM,Accepted-AOC,Lowest Bid,08-Oct-2025 12:36 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,,,,,,,,,,6.0,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5451360,M/s Vikas Builders,19-Aug-2025 12:25 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Aug-2025 04:33 PM,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5453270,RAM PRATAP DIXIT,19-Aug-2026 05:03 PM,Rejected-Finance,Higher Bid,28-Aug-2025 04:40 PM,AOC
