Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
62/ETC-II(P)/2024-2025,62/ETC-II(P)/2024-2025,Please refer Tender documents. ,NA ,"2,40,000",Electrical Works,NA ,Tender,120.0,60.0,132 KV S/S SIRATHU,212217.0,NA ,NA ,NA ,PRAYAGRAJ.,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost and E.M.D. RTGS/NEFT slip, Tender document photocopy of Pan card, GSTIN, experience cop",1.0,RTGS - RTGS Payment,Superintending Engineer,"Electricity Transmission Circle-II, U.P. Power Transmission Corporation Ltd. 57- George Town, Prayagraj.",15-Feb-2025 11:00 AM,05-Mar-2025 01:00 PM,15-Feb-2025 11:00 AM,04-Mar-2025 05:00 PM,NA ,NA ,15-Feb-2025 11:00 AM,04-Mar-2025 05:00 PM,29-Mar-2025 12:00 PM,590.0,Executive Engineer Electy. Trans. Div. Naini Alld.,PRAYAGRAJ.,No,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC-II Allahabad,62/ETC-II(P)/2024-2025,2025_UPTCL_1006296_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,400",No,fixed,,Executive Engineer Electy. Trans. Div. Naini Alld.,PRAYAGRAJ.,1.0,62extension,Date,,AOC,Superintending Engineer,Internal,"Executive Engineer (A), Senior Account Officer",GYANENDRA KUMAR,29-Mar-2025 11:42 AM,29-Mar-2025 12:00 PM,techsummary_1801480.pdf (377.78 KB),Finance,PART IInd HAS BEEN OPENED OF E-T-NO.62,GYANENDRA KUMAR,29-Mar-2025 12:11 PM,finance_1801480.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Executive Engineer (A), Senior Account Officer",GYANENDRA KUMAR,29-Mar-2025 12:17 PM,finsummary_1801480.pdf (377.79 KB),Technical,PART Ist HAS BEEN OPENED OF E-T-NO.62,GYANENDRA KUMAR,29-Mar-2025 11:30 AM,technical_1801480.pdf,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC-II Allahabad,2025_UPTCL_1006296_1,62/ETC-II(P)/2024-2025,62/ETC-II(P)/2024-2025,1.0,5015938.0,B.R. ENTERPRISES,INR,"239,400",1,5013665,AJN CONTRACTORS PRIVATE LIMITED,03-Mar-2025 02:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2025 11:30 AM,15-Oct-2025,"INR 239,400",60.0,GYANENDRA KUMAR,15-Oct-2025 03:01 PM,T62.pdf (3475.00 KB),"Major overhauling of 145 KV SF6 Circuit Breaker (CGL make) installed at 132 KV S/S Sirathu, Kaushambi under ETD-IV Prayagraj.",AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5015986,alfa engineering,04-Mar-2025 02:45 PM,Rejected-AOC,IInd Lowest,15-Oct-2025 03:01 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5015938,B.R. ENTERPRISES,04-Mar-2025 04:26 PM,Accepted-AOC,Ist Lowest,15-Oct-2025 03:01 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4981246,Technocrat Electrical,21-Feb-2025 02:20 PM,Rejected-AOC,IIIrd Lowest,15-Oct-2025 03:01 PM,,,,,,,,AOC
