Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1034789_2,03/COMPOSITE SCHOOL/FIROZABAD/25-26,"UPGRADATION AND AUTOMATION OF MUKHYAMANTRI COMPOSITE VIDHYALAYA, LALAU, DISTRICT- FIROZABAD (U.P.).",1.0,5213249.0,PRAKRITI CONSTRUCTION,INR,"9,003,051.6",1,5214288,M/S ACE INFRASTRUCTURE,25-May-2025 06:15 PM,Rejected-AOC,ok,07-Aug-2025 03:43 PM,07-Aug-2025,"INR 9,003,051.6",360.0,Rakesh Sikarwar,07-Aug-2025 03:43 PM,03frlalau.pdf (547.00 KB),Shri G.P. Singh,Internal,,Gajendra Pal Singh,10-Jun-2025 04:34 PM,10-Jun-2025 04:35 PM,techsummary_1887630.pdf (724.59 KB),Finance,Rate of M/S PRAKRITI CONSTRUCTION is Accepted.,Rakesh Sikarwar,07-Aug-2025 03:34 PM,finance_1887630.pdf,BOQ Comparative Chart,Shri G.P. Singh,Internal,,Rakesh Sikarwar,07-Aug-2025 03:40 PM,finsummary_1887630.pdf (547.39 KB),Technical,3 of 4 Bidders are Technically Qualified.,Gajendra Pal Singh,10-Jun-2025 04:17 PM,technical_1887630.pdf,AOC,"1,93,240",No,fixed,,UPSCIDC,FIROZABAD,SUPERINTENDING ENGINEER,"S.E. OFFICE H.No. 19, Ramji Dham Colony, Infront of Deviram Sweet, Rishipuram Road, Sikandra, Agra.",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,03/COMPOSITE SCHOOL/FIROZABAD/25-26,2025_SCIDC_1034789_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"2,360",UPSCIDC,FIROZABAD,No,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,"UPGRADATION AND AUTOMATION OF MUKHYAMANTRI COMPOSITE VIDHYALAYA, LALAU, DISTRICT- FIROZABAD (U.P.).","UPGRADATION AND AUTOMATION OF MUKHYAMANTRI COMPOSITE VIDHYALAYA, LALAU, DISTRICT- FIROZABAD (U.P.).",Please refer Tender documents. ,NA ,"96,62,000",Civil Works,NA ,Tender,360.0,360.0,Sikandra Agra,282007.0,NA ,NA ,NA ,"128, Paschimpuri Near Pani Ki Tanki Sikandra Agra",No ,No,19-May-2025 05:00 PM,26-May-2025 01:00 PM,19-May-2025 05:00 PM,26-May-2025 12:00 PM,NA ,NA ,19-May-2025 05:00 PM,26-May-2025 12:00 PM,10-Jun-2025 04:35 PM,AOC
,,,,,,,,,2,5215385,M/S SHREE BANKEY BIHARI CONSTRUCTION,26-May-2025 11:37 AM,Rejected-Technical,Technically Not Qualified,10-Jun-2025 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5215397,M/S SUDHIR BUILDING MATERIAL AND SUPPLIERS,26-May-2025 11:38 AM,Rejected-AOC,ok,07-Aug-2025 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5213249,PRAKRITI CONSTRUCTION,24-May-2025 06:40 PM,Accepted-AOC,ok,07-Aug-2025 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
