S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,DD - Demand Draft,Ex enginner UPSCIDC LTD JAUNPUR,VAN VIHAR ROAD BHUPATPATTI JAUNPUR,UNDER MLA BADLAPUR ESTEBLISHMENT OF 01 NOS 500 LPH WATER ATM AT LEDUKA BUXA,UNDER MLA BADLAPUR ESTEBLISHMENT OF 01 NOS 500 LPH WATER ATM AT LEDUKA BUXA,Please refer Tender documents. ,NA ,"7,71,432",Civil Works - Others,WATER ATM ,Tender,90.0,90.0,LEDUKA,222001.0,NA ,NA ,NA ,Ex enginner office UPSCIDC LTD JAUNPUR,No ,No,30-Jul-2025 06:55 PM,11-Aug-2025 01:00 PM,30-Jul-2025 06:55 PM,11-Aug-2025 12:00 PM,NA ,NA ,30-Jul-2025 06:55 PM,11-Aug-2025 12:00 PM,15-Aug-2025 09:00 AM,1.0,DATE EXTENTION,Date,,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"1,062",Ex engineer upscidc ltd,JAUNPUR,No,"16,000",No,fixed,,Ex engineer upscidc ltd,JAUNPUR,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,080/EE/JNP-MLA/25-26 DT-30-07-25,2025_SCIDC_1061483_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK ASHAD JE,Yogendra Nath Kushwaha,14-Aug-2025 07:05 PM,15-Aug-2025 09:00 AM,techsummary_1934050.pdf (401.96 KB),Finance,AADI SHAKTI CONSTRUCTION AND SUPPLIER FOUND L1,Yogendra Nath Kushwaha,18-Aug-2025 08:25 PM,finance_1934050.pdf,BOQ Comparative Chart,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI ACCT SRI MALIK MOHD JE,Yogendra Nath Kushwaha,18-Aug-2025 08:26 PM,finsummary_1934050.pdf (574.07 KB),Technical,TWO BID FOUND FOR THE TENDER,Yogendra Nath Kushwaha,14-Aug-2025 07:02 PM,technical_1934050.pdf,1.0,5407972.0,AADI SHAKTI CONSTRUCTION AND SUPPLIER,06-Aug-2025 10:58 PM,Accepted-AOC,L1,18-Aug-2025 08:32 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,2025_SCIDC_1061483_1,080/EE/JNP-MLA/25-26 DT-30-07-25,UNDER MLA BADLAPUR ESTEBLISHMENT OF 01 NOS 500 LPH WATER ATM AT LEDUKA BUXA,1.0,5407972.0,AADI SHAKTI CONSTRUCTION AND SUPPLIER,INR,"770,583",19-Aug-2025,"INR 770,583.42",90.0,Yogendra Nath Kushwaha,18-Aug-2025 08:32 PM,AOC.pdf (656.00 KB),AADI SHAKTI CONSTRUCTION AND SUPPLIER FOUND L1,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5411778.0,M/S SHYAM JI ENTERPRISES,08-Aug-2025 01:35 PM,Rejected-Finance,L2,18-Aug-2025 08:26 PM,,,,,,,,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
