Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
31-Oct-2025,"INR 1,895,779.9",60.0,SUBHASH CHANDRA,31-Oct-2025 02:24 PM,L19.pdf (192.00 KB),AGGREMENT WITH L1,Technical,tech,SUBHASH CHANDRA,16-Oct-2025 11:45 PM,technical_1967240.pdf,SUBHASH CHANDRA,Internal,MANMOHAN SINGH,SUBHASH CHANDRA,17-Oct-2025 12:07 AM,18-Oct-2025 04:00 PM,techsummary_1967240.pdf (1033.72 KB),1.0,5570409.0,CHAUDHARY CONSTRUCTIONS,INR,"1,895,779.9",Finance,FINANCE,SUBHASH CHANDRA,21-Oct-2025 02:45 PM,finance_1967240.pdf,BOQ Comparative Chart,SUBHASH CHANDRA,Internal,MANMOHAN SINGH,SUBHASH CHANDRA,31-Oct-2025 02:21 PM,finsummary_1967240.pdf (1033.72 KB),"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut||Muzaffar Nagar Division Ganga Canal,Muzaffar Nagar",2025_UPIDC_1076566_19,TN-04/EE/2025-26,TN-04/EE/25-26 Muzaffarnagar Khand Ganga Nahar Muzaffarnagar ke antargath Vill Ashafnagar Gata No 170 Ki Bhoomi Ki surkasha Hetu Chaardiwari Ka karya Lot No-19,1,5570409,CHAUDHARY CONSTRUCTIONS,29-Sep-2025 11:04 PM,Accepted-AOC,AGGREMENT WITH L1,31-Oct-2025 02:24 PM,AOC,1.0,SBI Bank,"38,060",No,percentage,2.0%,Nil,Nil,TN-04/EE/25-26 Muzaffarnagar Khand Ganga Nahar Muzaffarnagar ke antargath Vill Ashafnagar Gata No 170 Ki Bhoomi Ki surkasha Hetu Chaardiwari Ka karya Lot No-19,Muzaffarnagar Khand Ganga Nahar Muzaffarnagar ke antargath Vill Ashafnagar Gata No 170 Ki Bhoomi Ki surkasha Hetu Chaardiwari Ka karya,as per tender notice ,as per tender notice ,"19,03,000",Civil Works,NA ,Tender,90.0,60.0,Muzaffarnagar,251001.0,NA ,NA ,NA ,muzaffarnagar,No ,No,24-Sep-2025 11:00 AM,30-Sep-2025 03:00 PM,24-Sep-2025 11:00 AM,30-Sep-2025 02:00 PM,NA ,NA ,24-Sep-2025 11:00 AM,30-Sep-2025 02:00 PM,18-Oct-2025 04:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut||Muzaffar Nagar Division Ganga Canal,Muzaffar Nagar",TN-04/EE/2025-26,2025_UPIDC_1076566_19,Yes,Open Tender,Piece-work,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,EE MDGC MUZAFFARNAGAR,executive engineer muzaffarnagar division ganga canal muzaffarnagar,854.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5573374,kapil kumar contractor,30-Sep-2025 01:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Oct-2025 11:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TD,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5573510,M/S SUDHIR KUMAR CONTRACTOR,29-Sep-2025 09:28 PM,Rejected-AOC,AGGREMENT WITH L1,31-Oct-2025 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5573509,Sath Shaib Associates,30-Sep-2025 01:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Oct-2025 11:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5574100,SWASTIK CONSTRUCTION,30-Sep-2025 01:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Oct-2025 11:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
