S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,5369491.0,M/S VINOD KUMAR PANDEY,INR,"948,308",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Mirzapur||Executive Engineer(MLCD) Mirzapur,2025_UPIDM_1055641_1,"Tender Notice No-01/EEMLCD/MZP/2025-26, Lot- 04","Tender Notice No-01/EEMLCD/MZP/2025-26, Lot- 04",1,5370348,M/S HANUMAN PRASAD MAURYA S/O J.L.MAURYA,24-Jul-2025 09:39 AM,Rejected-AOC,Third lowest,30-Oct-2025 02:30 PM,30-Oct-2025,"INR 948,308",120.0,RAJA RAM CHAUDHARY,30-Oct-2025 02:30 PM,lot04vinodkumarpandey.pdf (622.00 KB),Award of Contract for this lot,EE Raja Ram Chaudhary,Internal,EE Balwant Kumar,RAJA RAM CHAUDHARY,01-Aug-2025 08:29 PM,04-Aug-2025 11:00 AM,techsummary_1920625.pdf (305.05 KB),Finance,Financial,RAJA RAM CHAUDHARY,18-Oct-2025 05:38 PM,finance_1920625.pdf,BOQ Comparative Chart,EE Raja Ram Chaudhary,Internal,EE Balwant Kumar,RAJA RAM CHAUDHARY,30-Oct-2025 02:25 PM,finsummary_1920625.pdf (305.04 KB),Technical,Technical Evalution,RAJA RAM CHAUDHARY,01-Aug-2025 08:17 PM,technical_1920625.pdf,AOC,11-Jul-2025 02:00 PM,24-Jul-2025 01:00 PM,11-Jul-2025 03:00 PM,24-Jul-2025 11:00 AM,NA ,NA ,11-Jul-2025 03:00 PM,24-Jul-2025 11:00 AM,04-Aug-2025 11:00 AM,766.0,Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Document,"24,500",No,fixed,,Nil,Nil,"Executive Engineer, Minor Lift Canal Division, Mir","Executive Engineer, Minor Lift Canal Division, Mirzapur","Tender Notice No-01/EEMLCD/MZP/2025-26, Lot- 04",Construction of stone lining and earth work in main canal from reach 0.550 Km to 0.790 Km at Jaugarh Pump Canal.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,150.0,"Vill-Jaugarh, Block-Rajgarh, Dist-Mirzapur",231001.0,NA ,NA ,NA ,"Executive Engineer, Minor Lift Canal Division, Mir",No ,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Mirzapur||Executive Engineer(MLCD) Mirzapur,"Tender Notice No-01/EEMLCD/MZP/2025-26, Lot- 04",2025_UPIDM_1055641_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5369528,M/S NAVEEN KUMAR YADAV,23-Jul-2025 08:33 PM,Rejected-AOC,Second Lowest,30-Oct-2025 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5368309,M/S RAJENDRA PRASAD,24-Jul-2025 10:53 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2025 08:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5369287,M/S RAVI SHANKAR,23-Jul-2025 06:16 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2025 08:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5369491,M/S VINOD KUMAR PANDEY,23-Jul-2025 09:48 PM,Accepted-AOC,first lowest,30-Oct-2025 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
