Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",01/SE-IV/2025-26,2025_UPIDC_1076318_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,LOT -01 Renovation work of Service road from Km 1.716 to Km 5.500 of the Garhmau Main Canal in Jhansi district.,LOT -01 Renovation work of Service road from Km 1.716 to Km 5.500 of the Garhmau Main Canal in Jhansi district.,Please refer Tender documents. ,NA ,"43,30,000",Civil Works,NA ,Tender,90.0,60.0,Jhansi,284001.0,NA ,NA ,NA ,"Office of the Superintending Engineer, Irrigation",No ,No,23-Sep-2025 10:00 AM,06-Oct-2025 03:30 PM,23-Sep-2025 10:00 AM,06-Oct-2025 03:00 PM,NA ,NA ,23-Sep-2025 10:00 AM,06-Oct-2025 03:00 PM,16-Oct-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"Superintending Engineer, Irrigation work VIth Circ","Office of the Superintending Engineer, Irrigation work VIth Circle Jhansi","2,510",Nil,Nil,No,"87,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC,Technical,ALL BIDS ARE ADMITTED,Brijesh Kumar,15-Oct-2025 12:25 PM,,Brijesh Kumar,Internal,Brijesh Kumar and Jitendra Kanaujiya,Brijesh Kumar,29-Oct-2025 03:39 PM,finsummary_1966053.pdf (674.96 KB),Finance,ARE BIDS ARE ADMITTED,Brijesh Kumar,29-Oct-2025 03:34 PM,,BOQ Comparative Chart,Brijesh Kumar,Internal,Brijesh Kumar and Jitendra Kanaujia,Brijesh Kumar,15-Oct-2025 12:48 PM,16-Oct-2025 04:00 PM,techsummary_1966053.pdf (749.58 KB),29-Oct-2025,"INR 3,947,518.4",60.0,Brijesh Kumar,29-Oct-2025 03:44 PM,Aoc1.pdf (74.00 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",2025_UPIDC_1076318_1,01/SE-IV/2025-26,LOT -01 Renovation work of Service road from Km 1.716 to Km 5.500 of the Garhmau Main Canal in Jhansi district.,1.0,5587117.0,M/s Hari Construction,INR,"3,947,518.4",1,5587584,APRAJIT CONSTRUCTION,06-Oct-2025 02:41 PM,Rejected-Finance,L3,29-Oct-2025 03:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5587117,M/s Hari Construction,06-Oct-2025 02:12 PM,Accepted-AOC,L1,29-Oct-2025 03:44 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5587611,M/S KAVYA CONSTRUCTION,06-Oct-2025 02:56 PM,Rejected-Finance,L2,29-Oct-2025 03:39 PM,AOC
