Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
21-Jul-2025,"INR 2,621,081.01",120.0,VIKAS KUMAR,20-Aug-2025 11:54 AM,AOC313_5.pdf (740.00 KB),AOC,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1042868_5,YEA/GM(PROJECT)/2025/313 DT-21/05/2025,Maintenance of water Supply pipe (20mm dia) in Affordable Houses in sector-22D (Part-A) yea,1.0,5231105.0,tryambak construction,INR,"2,621,081.01",1.0,5232015.0,KP CONST. CO.,04-Jun-2025 01:45 PM,Rejected-Finance,L3,21-Jul-2025 04:35 PM,Finance,UNDER EVALUATION,NITENDRA KUMAR ADARSH,10-Jul-2025 04:55 PM,,BOQ Comparative Chart,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,04-Jul-2025 11:09 AM,04-Jul-2025 01:00 PM,techsummary_1892630.pdf (1009.55 KB),Technical,EVALUATION,BHARAM PAL SINGH,30-Jun-2025 02:40 PM,,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,21-Jul-2025 04:35 PM,finsummary_1892630.pdf (32.57 KB),AOC,Maintenance of water Supply pipe (20mm dia) in Affordable Houses in sector-22D (Part-A) yea,Maintenance of water Supply pipe (20mm dia) in Affordable Houses in sector-22D (Part-A) yea Wc -01,Please refer Tender documents. ,NA ,"41,10,210",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201310.0,NA ,NA ,NA ,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",1.0,SBI Bank,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/313 DT-21/05/2025,2025_YEIDA_1042868_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"1,005",Nil,Nil,No,"82,500",No,fixed,,Nil,Nil,GM P,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,26-May-2025 06:55 PM,06-Jun-2025 11:00 AM,26-May-2025 06:55 PM,04-Jun-2025 05:00 PM,NA ,NA ,26-May-2025 06:55 PM,04-Jun-2025 05:00 PM,04-Jul-2025 01:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,5231105.0,tryambak construction,02-Jun-2025 07:44 PM,Accepted-AOC,L1,20-Aug-2025 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,5232968.0,Vardhman Infrastructure,03-Jun-2025 10:07 PM,Rejected-Finance,L2,21-Jul-2025 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
