Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Babu Ram, Executive Engineer",Near Girls Hostel Indira Nagar kalyanpur Kanpur Nagar-208026,1.0,Corrigendum,Other,,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,274/E.E/ET/KNP/KNJ/2025-26 dt 02.06.25,2025_SCIDC_1045234_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"5,310",UPSCIDCO LTD,FARRUKHABAD,No,"4,81,000",No,fixed,,UPSCIDCO LTD,FARRUKHABAD,"Construction of Kasturba Gandhi ( Girls ) Avasiya Vidyalay Hostel at Gathwaya Block Nawabganj, Farrukhabad ( U.P)","Construction of Kasturba Gandhi ( Girls ) Avasiya Vidyalay Hostel at Gathwaya Block Nawabganj, Farrukhabad U.P",Please refer Tender documents. ,NA ,,Civil Works,as per BOQ ,Tender,90.0,540.0,Kanpur,208026.0,Kanpur ,Near Girls Hostel Indira Nagar kalyanpur Kanpur Nagar-208026 ,13-Jun-2025 12:00 PM ,Kanpur,No ,No,02-Jun-2025 06:00 PM,16-Jun-2025 04:00 PM,02-Jun-2025 06:00 PM,16-Jun-2025 02:00 PM,NA ,NA ,02-Jun-2025 06:00 PM,16-Jun-2025 02:00 PM,04-Jul-2025 01:55 PM,1,FDR - Fixed Deposit,1,Fee/PreQual/Technical,.pdf,Tender fee and Earnest money receipt with prequalification bid and documents,AOC,Superintending Engineer,Internal,,Sagar Porwal,04-Jul-2025 06:25 PM,finsummary_1897293.pdf (1050.17 KB),Technical,Technical,Sagar Porwal,04-Jul-2025 01:48 PM,technical_1897293.pdf,Superintending Engineer,Internal,,Sagar Porwal,04-Jul-2025 01:52 PM,04-Jul-2025 01:55 PM,techsummary_1897293.pdf (467.68 KB),Finance,Financial,Sagar Porwal,04-Jul-2025 06:22 PM,finance_1897293.pdf,BOQ Comparative Chart,1,5250865,Ayodhya Solutions Pvt. Ltd.,15-Jun-2025 03:33 PM,Accepted-AOC,L1,28-Aug-2025 06:23 PM,1.0,5250865.0,Ayodhya Solutions Pvt. Ltd.,INR,"24,007,562.6",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,2025_SCIDC_1045234_1,274/E.E/ET/KNP/KNJ/2025-26 dt 02.06.25,"Construction of Kasturba Gandhi ( Girls ) Avasiya Vidyalay Hostel at Gathwaya Block Nawabganj, Farrukhabad ( U.P)",04-Jul-2025,"INR 24,007,562.6",540.0,Sagar Porwal,28-Aug-2025 06:22 PM,LOI.pdf (371.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,2,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5250785,SILVER LEAF ENGINEERS,15-Jun-2025 02:27 PM,Rejected-AOC,L2,28-Aug-2025 06:23 PM,,,,,,,,,,,,,,,,,AOC
