Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Summary,Munesh Kumar Lodhi,27-Feb-2025 01:30 PM,,BOQ Comparative Chart,Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er M K Singh AE RED Ayodhya, Mr Somesh Verma DAO RED Ayodhya",Somesh Verma,17-Feb-2025 11:00 AM,20-Feb-2025 12:00 PM,techsummary_1761187.pdf (1628.83 KB),1,4900252,M/S KRISHNA KUMARI THEKEDAR,01-Feb-2025 03:04 PM,Accepted-AOC,AOC,13-Aug-2025 08:22 AM,13-Aug-2025,"INR 1,247,790",90.0,Mahendra Kumar,13-Aug-2025 08:22 AM,3445_8.pdf (3366.00 KB),1.0,4900252.0,M/S KRISHNA KUMARI THEKEDAR,INR,"1,247,790",Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,13-Aug-2025 08:17 AM,finsummary_1761187.pdf (3365.90 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2025_REDUP_994572_8,3445/EE RED AYODHYA/24-25 Dt 21/12/2024,"Under District Ayodhya, Construction of Interlocking road from Gram Panchayat Rautawa Baba Makar Giri place to Jagdish Yadav house in entire Makra, Lot No 8",Technical,Summary,Munesh Kumar Lodhi,11-Feb-2025 03:05 PM,,AOC,"Under District Ayodhya, Construction of Interlocking road from Gram Panchayat Rautawa Baba Makar Giri place to Jagdish Yadav house in entire Makra, Lot No 8","Under District Ayodhya, Construction of Interlocking road from Gram Panchayat Rautawa Baba Makar Giri place to Jagdish Yadav house in entire Makra, Lot No 8",Please refer Tender documents. ,NA ,"10,62,000",Civil Works,NA ,Tender,90.0,90.0,Ayodhya,224001.0,"EE RED AYODHYA, Vikas Bhawan, Ayodhya ","EE RED AYODHYA, Vikas Bhawan, Ayodhya ",24-Jan-2025 11:00 AM ,"EE RED AYODHYA, Vikas Bhawan, Ayodhya",No ,No,1.0,SBI Bank,"21,240",No,percentage,2.0%,Nil,Nil,"EE RED AYODHYA, Vikas Bhawan, Ayodhya","EE RED AYODHYA, Vikas Bhawan, Ayodhya",18-Jan-2025 11:00 AM,03-Feb-2025 03:00 PM,18-Jan-2025 11:00 AM,03-Feb-2025 12:00 PM,NA ,NA ,18-Jan-2025 11:00 AM,03-Feb-2025 12:00 PM,20-Feb-2025 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,3445/EE RED AYODHYA/24-25 Dt 21/12/2024,2025_REDUP_994572_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,AOC
,,,,,,,,,,,,,2,4900146,RAMTEJ CONSTRUCTION,01-Feb-2025 02:30 PM,Rejected-Finance,Rejected,13-Aug-2025 08:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),AOC
