S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,766.0,Nil,Nil,No,24-Sep-2025 09:00 AM,29-Sep-2025 03:00 PM,24-Sep-2025 09:30 AM,29-Sep-2025 11:00 AM,NA ,NA ,24-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,07-Oct-2025 09:00 AM,"EE, ID HATHRAS",ID HATHRAS,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||ID, hathras",01/EE/2025-26,2025_UPIDC_1076801_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,120",No,fixed,,Nil,Nil,Silt clearance of Sona Minor from Km-0.000 To Km- 7.360,Silt clearance of Sona Minor from Km-0.000 To Km- 7.360,Please refer Tender documents. ,NA ,"2,06,357",Civil Works,NA ,Tender,90.0,21.0,Hathras,204101.0,NA ,NA ,NA ,ID HATHRAS,No ,No,1,Fee/PreQual/Technical,.pdf,TENDERNOTICE,AOC,1,5570446,M/S GUNGUN ENTERPRISES,29-Sep-2025 12:37 AM,Accepted-AOC,AS PER AOC,31-Oct-2025 02:03 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||ID, hathras",2025_UPIDC_1076801_15,01/EE/2025-26,Silt clearance of Sona Minor from Km-0.000 To Km- 7.360,1.0,5570446.0,M/S GUNGUN ENTERPRISES,INR,"155,120",Finance,AS PER FININCIAL,Chandramauli Dwivedi,09-Oct-2025 01:08 PM,finance_1967464.pdf,BOQ Comparative Chart,CHANDRAMAULI DWIVEDI EE,External,,Chandramauli Dwivedi,09-Oct-2025 02:24 PM,finsummary_1967464.pdf (265.92 KB),CHANDRAMAULI DWIVEDI EE,External,,Chandramauli Dwivedi,06-Oct-2025 06:20 PM,07-Oct-2025 09:00 AM,techsummary_1967464.pdf (370.32 KB),Technical,AS PER TECHINICAL,Chandramauli Dwivedi,06-Oct-2025 05:42 PM,technical_1967464.pdf,27-Oct-2025,"INR 155,120",21.0,Chandramauli Dwivedi,31-Oct-2025 02:03 PM,20.pdf (388.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,2,5567993,M/S LEKHRAJ SINGH,27-Sep-2025 02:52 PM,Rejected-Finance,AS PER FININCIAL,09-Oct-2025 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
