S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1,5600035,G S INFRA,14-Oct-2025 11:38 AM,Rejected-Finance,L3,31-Oct-2025 04:12 PM,1.0,5602999.0,M/s Nav Bharat Construction,INR,"6,537,249.75","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2025_UPIDC_1080140_2,03/SE-XI/2025-26,AS PER NIT LOT02,31-Oct-2025,"INR 6,537,249.75",45.0,Dhruva Chandra Verma,31-Oct-2025 05:54 PM,AOC.pdf (447.00 KB),DC VERMA,Internal,Attached,Dhruva Chandra Verma,31-Oct-2025 04:12 PM,finsummary_1976256.pdf (199.05 KB),Technical,TECHNICAL BID OPENING SUMMARY,Dhruva Chandra Verma,21-Oct-2025 10:55 AM,technical_1976256.pdf,DC VERMA,Internal,ATTACHED,Dhruva Chandra Verma,21-Oct-2025 11:00 AM,24-Oct-2025 01:00 PM,techsummary_1976256.pdf (445.03 KB),Finance,FINANCIAL OPENING BID,Dhruva Chandra Verma,31-Oct-2025 03:59 PM,,BOQ Comparative Chart,AOC,1.0,date extension,Date,,"3,722",Nil,Nil,No,AS PER NIT LOT02,AS PER NIT LOT02,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,45.0,AYODHYA,224001.0,"O/O SE, XITH CIRCLE IW AYODHYA ","O/O SE, XITH CIRCLE IW AYODHYA ",06-Oct-2025 01:00 PM ,"O/O SE, XITH CIRCLE IW AYODHYA",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",03/SE-XI/2025-26,2025_UPIDC_1080140_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,75,000",No,fixed,,Nil,Nil,1.0,SBI Bank,SUPERINTENDING ENGINEER,"O/O SE, XITH CIRCLE IW AYODHYA",06-Oct-2025 09:00 AM,14-Oct-2025 02:00 PM,06-Oct-2025 10:00 AM,14-Oct-2025 01:30 PM,NA ,NA ,06-Oct-2025 10:00 AM,14-Oct-2025 01:30 PM,24-Oct-2025 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,AOC
2,5602972,M/S ADITYA CONSTRUCTION COMPANY,13-Oct-2025 10:21 AM,Rejected-Finance,L5,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
3,5602661,M/S BHARAT RAJ VERMA,13-Oct-2025 04:39 PM,Rejected-Finance,L2,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,5606972,M/S JANARDAN PATHAK THEKEDAR,14-Oct-2025 12:47 PM,Rejected-Finance,L10,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,5602969,M/s Kamal Construction,14-Oct-2025 12:00 PM,Rejected-Finance,L4,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,5602566,M/S K.K. TRADERS,13-Oct-2025 01:43 AM,Rejected-Finance,L6,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,5602999,M/s Nav Bharat Construction,13-Oct-2025 10:35 AM,Accepted-AOC,L1,31-Oct-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,5601522,M/S SRI RAM TRADERS,14-Oct-2025 11:16 AM,Rejected-Finance,L7,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,5606903,PADMARAJE CONSTRUCTIONS,14-Oct-2025 12:04 PM,Rejected-Finance,L9,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,5601980,S.B. ENTERPRISES,14-Oct-2025 12:01 PM,Rejected-Finance,L8,31-Oct-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
