Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",02/AEIV/2025-26,2025_UPIDC_1055385_20,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,"P/L Sewer Line and Main hole in Resi. No.-25/1 to P.A. Block at Canal Colony, Cantt Road Lucknow.(Lot No.20)","P/L Sewer Line and Main hole in Resi. No.-25/1 to P.A. Block at Canal Colony, Cantt Road Lucknow.(Lot No.20)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Canal Colony Lucknow,226001.0,NA ,NA ,NA ,canal Colony,No ,No,09-Jul-2025 12:00 PM,15-Jul-2025 03:00 PM,09-Jul-2025 12:00 PM,15-Jul-2025 12:00 PM,09-Jul-2025 12:00 PM ,15-Jul-2025 12:00 PM ,09-Jul-2025 12:00 PM,15-Jul-2025 12:00 PM,21-Jul-2025 01:00 PM,"3,380",No,fixed,,Nil,Nil,1.0,SBI Bank,Assistant Engineer IV,LDSC Lucknow,590.0,Nil,Nil,No,AOC,1,5330598,M/S KISHORE KUMAR,15-Jul-2025 09:22 AM,Rejected-AOC,L2,24-Oct-2025 11:39 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1055385_20,02/AEIV/2025-26,"P/L Sewer Line and Main hole in Resi. No.-25/1 to P.A. Block at Canal Colony, Cantt Road Lucknow.(Lot No.20)",Finance,Summary,deena nath maurya,21-Jul-2025 03:54 PM,finance_1920359.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,21-Jul-2025 04:34 PM,finsummary_1920359.pdf (914.43 KB),1.0,5329983.0,M/S MOHIT ENTERPRISES,INR,"165,773.5",D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,18-Jul-2025 01:33 PM,21-Jul-2025 01:00 PM,techsummary_1920359.pdf (914.43 KB),Technical,Summary,deena nath maurya,18-Jul-2025 12:15 PM,technical_1920359.pdf,28-Jul-2025,"INR 165,773.5",30.0,deena nath maurya,24-Oct-2025 11:39 AM,agno44.pdf (417.00 KB),AOC,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5329983,M/S MOHIT ENTERPRISES,15-Jul-2025 01:51 AM,Accepted-AOC,L1,24-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
