Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,2025_SCIDC_1059676_1,48/EE/SRE/MZN/E-TENDER/2025-26,"Under Vidhayak Nidhi Yojna (Shri Mithlesh Pal ji, MLA) Construction of C.C. Road and Drain work from Sri Vedpal Chairman house to Sri Anand Prakash Dhiman house at Vill Sikandrapur Block Morna District- Muzaffarnagar",1.0,5386139.0,SATYAPAL SINGH,INR,"883,600",1,5389327,M/S MOHIT TYAGI,29-Jul-2025 10:16 PM,Rejected-Finance,Being L2,02-Aug-2025 11:55 AM,08-Aug-2025,"INR 883,600",90.0,Vinod Kumar Kardam,02-Aug-2025 11:57 AM,aoc.pdf (331.00 KB),AWARD OF CONTRACT for Construction of C.C. Road and Drain work from Sri Vedpal Chairman house to Sri Anand Prakash Dhiman house at Vill Sikandrapur Block Morna District- Muzaffarnagar,Executive Engineer,Internal,"Vinod Kumar Kardam - Executive Engineer, Arun Kumar - Executive Engineer, Mool Chandra - Assistant Account officer",Vinod Kumar Kardam,02-Aug-2025 11:55 AM,finsummary_1929495.pdf (152.56 KB),Technical,Technical Evaluation Summary,Vinod Kumar Kardam,31-Jul-2025 04:51 PM,technical_1929495.pdf,Executive Engineer,Internal,"Vinod Kumar Kardam - Executive Engineer, Arun Kumar - Executive Engineer, Mool Chandra - Assistant Account officer",Vinod Kumar Kardam,31-Jul-2025 04:52 PM,01-Aug-2025 09:00 AM,techsummary_1929495.pdf (152.56 KB),Finance,Financial Evaluation Summary,Vinod Kumar Kardam,02-Aug-2025 11:17 AM,finance_1929495.pdf,BOQ Comparative Chart,AOC,Executive Engineer,"Executive Engineer office Saharanpur - H.No.-36 Surya Nagar, Near State Bank Colony, Delhi Road Saharanpur",24-Jul-2025 12:43 PM,31-Jul-2025 10:00 AM,24-Jul-2025 02:00 PM,31-Jul-2025 09:00 AM,NA ,NA ,24-Jul-2025 02:00 PM,31-Jul-2025 09:00 AM,01-Aug-2025 09:00 AM,"Under Vidhayak Nidhi Yojna (Shri Mithlesh Pal ji, MLA) Construction of C.C. Road and Drain work from Sri Vedpal Chairman house to Sri Anand Prakash Dhiman house at Vill Sikandrapur Block Morna District- Muzaffarnagar","Under Vidhayak Nidhi Yojna (Shri Mithlesh Pal ji, MLA) Construction of C.C. Road and Drain work from Sri Vedpal Chairman house to Sri Anand Prakash Dhiman house at Vill Sikandrapur Block Morna District- Muzaffarnagar",Please refer Tender documents. ,NA ,"8,84,043",Civil Works,NA ,Tender,90.0,90.0,District Muzaffarnagar,251001.0,NA ,NA ,NA ,Executive Engineer office Saharanpur,No ,No,"18,000",No,fixed,,UPSCIDCO,MUZAFFARNAGAR,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,48/EE/SRE/MZN/E-TENDER/2025-26,2025_SCIDC_1059676_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,"1,062",UPSCIDCO,MUZAFFARNAGAR,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,,,2,5386139,SATYAPAL SINGH,28-Jul-2025 10:30 PM,Accepted-AOC,Being L1,02-Aug-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC
