Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
29-Oct-2025,"INR 41,037,087.8",240.0,shashi prakash shukla,29-Oct-2025 10:41 AM,AOC_10950.pdf (300.00 KB),AOC,1.0,5510833.0,M/s Mithilesh Kumar,INR,"41,037,087.8","U P Irrigation Department (Civil)||Chief Engineer-Bansagar, Allahabad||Ban Sagar CC-2, Mirjapur",2025_UPIDC_1067268_2,03/SE/2025-26,Construction of Canal protection work between km-10.400 to 10.950 of B.S.F.C. Lot_2,1,5516871,ARVIND KUMAR SINGH,04-Sep-2025 01:23 PM,Rejected-Finance,L-5,29-Oct-2025 10:31 AM,1.0,Tender Revocation,Tender Revocation,18-Sep-2025 02:51 PM,revocation.pdf ,461.42,Technical Opening,Technical,Technical Bid summary,shashi prakash shukla,18-Sep-2025 03:05 PM,technical_1946406.pdf,Er Shashi Prakash Shukla SE,Internal,Er O P Maurya Se Er. Ashok Kumar Yadav EE Er Shyam Kishor Gupta EE,shashi prakash shukla,29-Oct-2025 10:31 AM,finsummary_1946406.pdf (534.32 KB),Finance,Comprative chart,shashi prakash shukla,29-Oct-2025 10:26 AM,finance_1946406.pdf,BOQ Comparative Chart,Er Shashi Prakash Shukla SE,Internal,Er O P Maurya Se Er. Ashok Kumar Yadav EE Er Shyam Kishor Gupta EE,shashi prakash shukla,18-Sep-2025 03:11 PM,22-Sep-2025 04:00 PM,techsummary_1946406.pdf (534.33 KB),AOC,"11,18,000",No,fixed,,Nil,Nil,"Superintending Engineer, B S C C C-2 Mzp","Superintending Engineer, Bansagar Canal Construction Circle-2 Mirzapur",1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Bansagar, Allahabad||Ban Sagar CC-2, Mirjapur",03/SE/2025-26,2025_UPIDC_1067268_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,corrigendum,Financial Bid Opening Date Corrigendum,,Construction of Canal protection work between km-10.400 to 10.950 of B.S.F.C. Lot_2,Construction of Canal protection work between km-10.400 to 10.950 of B.S.F.C.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,240.0,"Sidhi, MP",486661.0,NA ,NA ,NA ,"Offie of S E B S C C C-2, Mzp",No ,No,23-Aug-2025 01:00 PM,04-Sep-2025 03:00 PM,23-Aug-2025 01:00 PM,04-Sep-2025 02:00 PM,NA ,NA ,25-Aug-2025 01:00 PM,04-Sep-2025 02:00 PM,22-Sep-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Document,"2,360",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,5512596,M/S CHAUDHARY ENTERPRISES,02-Sep-2025 04:48 PM,Rejected-Finance,L-4,29-Oct-2025 10:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,,3,5516242,M/S GOPAL RAI,04-Sep-2025 10:21 AM,Rejected-Finance,L-3,29-Oct-2025 10:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5510833,M/s Mithilesh Kumar,02-Sep-2025 10:14 PM,Accepted-AOC,L-1,29-Oct-2025 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5517032,M/S PRATAP CONSTRUCTION,04-Sep-2025 01:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Sep-2025 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5515206,S.P.R.U INFRATECH PRIVATE LIMITED,04-Sep-2025 12:11 PM,Rejected-Finance,L-2,29-Oct-2025 10:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
