Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Yamuna Expressway Industrial Development Authority,2025_YEIDA_1020337_8,YEA/GM(PROJECT)/2025/1023 DT-17/03/2025,"Providing and laying /Relaying interlocking tiles work and bricks /RCC drain in village parsol (part-1),YEIDA .WC-06",1.0,5095196.0,M/S ANUSHKA CONSTRUCTION,INR,"5,407,651.66",1,5092355,A.K CONSTRUCTION,30-Mar-2025 11:30 AM,Rejected-Finance,L9,11-Jun-2025 05:09 PM,11-Jun-2025,"INR 5,407,651.66",279.0,VIKAS KUMAR,19-Aug-2025 12:03 PM,AOC1023_8.pdf (695.00 KB),aoc,Committee,Internal,Committee,BHARAM PAL SINGH,11-Jun-2025 05:09 PM,finsummary_1841325.pdf (1349.96 KB),Technical,EVALUATION,BHARAM PAL SINGH,07-May-2025 12:06 PM,,Committee,Internal,Committee,BHARAM PAL SINGH,07-May-2025 12:09 PM,07-May-2025 03:00 PM,techsummary_1841325.pdf (1241.61 KB),Finance,EVALUATION,NITENDRA KUMAR ADARSH,13-May-2025 02:23 PM,,BOQ Comparative Chart,AOC,21-Mar-2025 06:55 PM,04-Apr-2025 11:00 AM,21-Mar-2025 06:55 PM,01-Apr-2025 05:00 PM,NA ,NA ,21-Mar-2025 06:55 PM,01-Apr-2025 05:00 PM,07-May-2025 03:00 PM,GM P,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Fee/PreQual/Technical,.pdf,APPENDIX A TO E,"1,992",Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1023 DT-17/03/2025,2025_YEIDA_1020337_8,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"1,62,500",No,fixed,,Nil,Nil,"Providing and laying /Relaying interlocking tiles work and bricks /RCC drain in village parsol (part-1),YEIDA .WC-06","Providing and laying /Relaying interlocking tiles work and bricks /RCC drain in village parsol (part-1),YEIDA .WC-06",Please refer Tender documents. ,NA ,"81,11,071",Civil Works,NA ,Tender,90.0,279.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA OFFICE 2ND FLOOR E TENDERING,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,2,5096164,ANAYA CONSTRUCTION,01-Apr-2025 04:27 PM,Rejected-Finance,L3,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5091289,KP CONST. CO.,31-Mar-2025 12:52 AM,Rejected-Finance,L10,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5095196,M/S ANUSHKA CONSTRUCTION,01-Apr-2025 10:03 AM,Accepted-AOC,L1,19-Aug-2025 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5096111,M/s Goodhill Builders,01-Apr-2025 04:21 PM,Rejected-Finance,L7,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5093128,M/S PRATHVI ENTERPRISES,01-Apr-2025 03:28 PM,Rejected-Finance,L5,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5096188,PARAS CONSTRUCTION,01-Apr-2025 04:52 PM,Rejected-Finance,L8,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5091091,SHRI HARI BUILDERS,01-Apr-2025 04:17 PM,Rejected-Finance,L4,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5096136,SHUBHAM BUILDERS,01-Apr-2025 04:43 PM,Rejected-Finance,L6,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5096003,Sumit kumar,01-Apr-2025 04:44 PM,Rejected-Finance,L2,11-Jun-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
