Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Bank Name,Tender Stage
Technical,T,Dinesh Singh,19-Jul-2025 04:53 PM,,01-Aug-2025,"INR 977,907.16",90.0,Dinesh Singh,14-Aug-2025 12:14 AM,BLA.pdf (93.00 KB),EERED,Internal,,Dinesh Singh,19-Jul-2025 05:32 PM,21-Jul-2025 09:00 AM,techsummary_1918347.pdf (93.47 KB),1,5310228,M/S SAI ENTERPRISES,12-Jul-2025 03:39 PM,Accepted-AOC,L1,14-Aug-2025 12:14 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2025_REDUP_1054592_10,276/NIVIDA AGRA/2025-26 dt 06.06.2025,10. Gram saura me ram khiladi ke ghar se evran singh saxena ke ghar tak CC karya,EERED,Internal,,Dinesh Singh,31-Jul-2025 06:02 PM,finsummary_1918347.pdf (93.47 KB),Finance,f,Dinesh Singh,21-Jul-2025 01:40 PM,,BOQ Comparative Chart,1.0,5310228.0,M/S SAI ENTERPRISES,INR,"977,907.16",AOC,854.0,Nil,Nil,No,10. Gram saura me ram khiladi ke ghar se evran singh saxena ke ghar tak CC karya,10. Gram saura me ram khiladi ke ghar se evran singh saxena ke ghar tak CC karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EE RED AGRA,No ,No,1.0,DATE,Date,,1,Fee/PreQual/Technical,.pdf,bid,"19,600",Yes,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,276/NIVIDA AGRA/2025-26 dt 06.06.2025,2025_REDUP_1054592_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,05-Jul-2025 10:00 AM,14-Jul-2025 12:30 PM,05-Jul-2025 10:00 AM,14-Jul-2025 12:00 PM,NA ,NA ,05-Jul-2025 10:00 AM,14-Jul-2025 12:00 PM,21-Jul-2025 09:00 AM,EERED AGRA,EERED AGRA,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,2,5314386,TANYA CONSTRUCTION,13-Jul-2025 12:23 PM,Rejected-Finance,L2,31-Jul-2025 06:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
