Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
31-Oct-2025,"INR 512,562",30.0,Satya Prakash Chaudhary,31-Oct-2025 07:09 AM,AOCLot1.pdf (201.00 KB),aoc,1.0,5570104.0,Shyam Sunder,INR,"512,562","U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||BCD, allahabad",2025_UPIDC_1076088_1,02/EE/2025-26,Renewal / Reconstruction of painted canal service road of Ramnagar Dy. from km. 0.000 to km. 0.500.,1,5571890,BALA JI ENTERPRISES,29-Sep-2025 12:58 PM,Rejected-Finance,Reject,31-Oct-2026 05:09 PM,Technical,03 bid not admitted and 07 bid admitted,Satya Prakash Chaudhary,10-Oct-2025 04:55 AM,technical_1965464.pdf,S P Chaudhary,Internal,D N Shukla,Satya Prakash Chaudhary,31-Oct-2025 07:06 AM,finsummary_1965464.pdf (200.58 KB),Finance,aoc,Satya Prakash Chaudhary,26-Oct-2025 10:40 PM,finance_1965464.pdf,BOQ Comparative Chart,S P Chaudhary,Internal,D N Shukla,Satya Prakash Chaudhary,10-Oct-2025 04:59 AM,10-Oct-2025 09:00 AM,techsummary_1965464.pdf (636.60 KB),AOC,"20,120",No,percentage,2.0%,Nil,Nil,Ex. Eng. Belan Canal Division Prayagraj,Ex. Eng. Belan Canal Division Irrigation Colony Govindpur Prayagraj,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||BCD, allahabad",02/EE/2025-26,2025_UPIDC_1076088_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,doc,23-Sep-2026 05:09 PM,29-Sep-2025 03:30 PM,23-Sep-2025 12:00 PM,29-Sep-2025 03:00 PM,NA ,NA ,23-Sep-2025 12:15 PM,29-Sep-2025 03:00 PM,10-Oct-2025 09:00 AM,766.0,Nil,Nil,No,Renewal / Reconstruction of painted canal service road of Ramnagar Dy. from km. 0.000 to km. 0.500.,Renewal / Reconstruction of painted canal service road of Ramnagar Dy. from km. 0.000 to km. 0.500.,Please refer Tender docments ,NA ,"10,06,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Prayagraj,211004.0,NA ,NA ,NA ,Office of The Ex.Eng. Belan Canal Division Prayagr,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5558044,D.N. CONSTRUCTION & SUPPLIERS,24-Sep-2025 05:27 PM,Rejected-Finance,Reject,31-Oct-2025 07:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5570426,KRISHNA CONSTRUCTION,28-Sep-2025 10:31 PM,Rejected-Finance,Reject,31-Oct-2025 07:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5569721,M/S GANPATI KRIPA CONSTRUCTION AND SUPPLIAR,28-Sep-2025 03:37 PM,Rejected-Finance,Reject,31-Oct-2025 07:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5572231,M/S MOHAMMAD RAFIK,29-Sep-2025 02:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Oct-2025 04:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5566152,M/S RAM ASAREY PATEL,27-Sep-2025 11:58 AM,Rejected-Finance,Reject,31-Oct-2025 07:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5570097,PAWAN KUMAR MISHRA,29-Sep-2025 11:43 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Oct-2025 04:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5570104,Shyam Sunder,28-Sep-2025 07:39 PM,Accepted-AOC,aoc,31-Oct-2025 07:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5571311,SURESH KUMAR SINGH,29-Sep-2025 01:59 PM,Rejected-Finance,Reject,31-Oct-2025 07:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5568163,Swastik Construction,27-Sep-2025 05:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Oct-2025 04:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
