Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID-2, kushinagar",01/EEID2K/2025-26,2025_UPIDC_1033935_28,Yes,Auction,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"IRRIGATION DIVISION-2, KUSHINAGAR",18-Jun-2025 10:00 AM,23-Jun-2025 01:00 PM,18-Jun-2025 10:00 AM,23-Jun-2025 12:00 PM,NA ,NA ,18-Jun-2025 10:00 AM,23-Jun-2025 12:00 PM,25-Jun-2025 09:00 AM,1.0,Fee/PreQual/Technical,.pdf,EMD,SILT DISPOSAL BY AUCTIONING OF MATHIYA BRANCH FROM KM 0.000 TO KM 1.500 IN DISTRICT KUSHINAGAR. (LOT-02),SILT DISPOSAL BY AUCTIONING OF MATHIYA BRANCH FROM KM 0.000 TO KM 1.500 IN DISTRICT KUSHINAGAR. (LOT-02),Please refer Tender documents. ,NA ,"11,26,400",Civil Works,NA ,Tender,90.0,NA ,"IRRIGATION DIVISION-2, KUSHINAGAR",274401.0,NA ,NA ,NA ,"IRRIGATION DIVISION-2, KUSHINAGAR",No ,No,0.0,Nil,Nil,No,1.0,SBI Bank,"1,12,640",Yes,fixed,,Nil,Nil,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID-2, kushinagar",2025_UPIDC_1033935_28,01/EEID2K/2025-26,SILT DISPOSAL BY AUCTIONING OF MATHIYA BRANCH FROM KM 0.000 TO KM 1.500 IN DISTRICT KUSHINAGAR. (LOT-02),1.0,5267784.0,DHANWANTI DEVI,23-Jun-2025 11:47 AM,Accepted-AOC,Higher Bid,18-Oct-2025 02:45 PM,1.0,5267784.0,DHANWANTI DEVI,INR,"1,167,360",Finance,as per auction highest bidder is eligible,dudh nath ram,11-Jul-2025 01:41 PM,finance_1907307.pdf,BOQ Comparative Chart,D.N. Ram,Internal,"Bodhai Ram, V.K Verma",dudh nath ram,11-Jul-2025 01:55 PM,finsummary_1907307.pdf (403.77 KB),Technical,two bidder Admitted,dudh nath ram,25-Jun-2025 06:45 AM,technical_1907307.pdf,18-Oct-2025,"INR 1,167,360",45.0,Vinod Kumar Verma,18-Oct-2025 02:45 PM,Nilami.pdf (912.00 KB),Higher Bidder,D.N. Ram,Internal,Vinod Kumar Verma and Bodhai Ram,dudh nath ram,25-Jun-2025 07:08 AM,25-Jun-2025 09:00 AM,techsummary_1907307.pdf (50.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,5267627.0,SUBASH SINGH,23-Jun-2025 11:37 AM,Rejected-AOC,Lower Bid,18-Oct-2025 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
