Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
04-Aug-2025,"INR 21,179,830.9",270.0,Kiran Pal Singh Verma,02-Aug-2025 12:40 PM,AOC_2.pdf (366.00 KB),as per boq,Technical,as uploaded,Kiran Pal Singh Verma,16-Jul-2025 06:37 PM,technical_1877288.pdf,SE GANDAK FLOOD CIRCLE GORAKHPUR,Internal,SE DRAINAGE CIRCLE BALLIA,Kiran Pal Singh Verma,16-Jul-2025 06:45 PM,17-Jul-2025 11:00 AM,techsummary_1877288.pdf (659.15 KB),1.0,5182760.0,RAM NARAYAN YADAV,INR,"21,179,830.9",SE GANDAK FLOOD CIRCLE GORAKHPUR,Internal,SE DRAINAGE CIRCLE BALLIA,Kiran Pal Singh Verma,17-Jul-2025 11:56 AM,finsummary_1877288.pdf (659.15 KB),Finance,as per boq,Kiran Pal Singh Verma,17-Jul-2025 11:44 AM,finance_1877288.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Gorakhpur",2025_UPIDC_1031576_10,01/SE/2025-26,RECONSTRUCTION OF REGULATOR AT KM 0.950 OF HOBERT BUND ON LEFT BANK OF RIVER RAPTI IN DISTT GORAKHPUR,1,5184973,DILIP KUMAR YADAV,13-May-2025 01:57 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,1.0,Tender Revoctation,as per uploaded,28-May-2025 01:48 PM,hrevo_02.pdf ,322.43,Technical Opening,AOC,1.0,SBI Bank,"5,89,000",Yes,fixed,,Nil,Nil,"SE GANDAK FLOOD CIRCLE, GORAKHPUR","SE GANDAK FLOOD CIRCLE, GORAKHPUR",1.0,Fee/PreQual/Technical,.pdf,attached,"2,714",Nil,Nil,No,05-May-2025 02:00 PM,13-May-2025 04:30 PM,05-May-2025 02:00 PM,13-May-2025 04:00 PM,NA ,NA ,05-May-2025 02:00 PM,13-May-2025 04:00 PM,17-Jul-2025 11:00 AM,RECONSTRUCTION OF REGULATOR AT KM 0.950 OF HOBERT BUND ON LEFT BANK OF RIVER RAPTI IN DISTT GORAKHPUR,RECONSTRUCTION OF REGULATOR AT KM 0.950 OF HOBERT BUND ON LEFT BANK OF RIVER RAPTI IN DISTT GORAKHPUR,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,GORAKHPUR,273009.0,NA ,NA ,NA ,"SE GANDAK FLOOD CIRCLE, GORAKHPUR",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Gorakhpur",01/SE/2025-26,2025_UPIDC_1031576_10,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5183760,M/s Asha Colonizers and Contractors Private Limited,13-May-2025 02:53 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,2.0,Revocation,Revocation,16-Jul-2025 06:12 PM,revok_2.pdf ,295.79,Technical Opening,AOC,,,,,,,,,,,2.0,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5184895,M/S ASHISH KUMAR PANDEY,13-May-2025 01:41 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5183472,M/S ASHTBHUJA,13-May-2025 12:53 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5184366,M/S BALA JI ENTERPRISES,13-May-2025 12:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jul-2025 06:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5184745,M/S PRABHAT TRADERS,13-May-2025 02:01 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5172269,M/S R.K.TRADERS,13-May-2025 02:29 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5183743,M/S SHYAM ASSOCIATE,13-May-2025 01:54 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5185555,M/S SUNIDHI ENTERPRISES,13-May-2025 03:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jul-2025 06:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5185469,MS TRISHIRA CONSTRUCTION PRIVATE LIMITED,13-May-2025 02:52 PM,Rejected-Finance,as per boq,17-Jul-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
